id,nom,categ,description,geometry,lat,lng
PC_s,remparts des plaines,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.60243278934193,-21.15634344185568 55.60269666658439,-21.155748601494 55.60293762763479,-21.15495599809126 55.60313760799578,-21.15431424713549 55.60297730998155,-21.15421034557775 55.6028996328607,-21.15432292646593 55.60285436247162,-21.15474145371579 55.60248268397308,-21.1554179748473 55.60207819954481,-21.15585568083066 55.60141994394602,-21.15618311976635 55.60136421879145,-21.15603154674271 55.60178728760371,-21.15587072442292 55.60227104731976,-21.15527585553562 55.60232676209634,-21.15503126757975 55.60219171084505,-21.15500025832096 55.60188241095769,-21.15536749718195 55.60016649623423,-21.15632394067764 55.59952501204817,-21.15694413318239 55.59939080143491,-21.15679410034492 55.59970151454888,-21.15637517832648 55.59955693453978,-21.15585911771583 55.5993845863971,-21.15590775663595 55.59951186768112,-21.15626090266522 55.59840993537294,-21.15731013460816 55.5975004514969,-21.15762075391794 55.59737633641056,-21.15746695819569 55.59804806854195,-21.15714417283591 55.59794405166472,-21.15701097481226 55.5971544894396,-21.1573731879171 55.59644677616953,-21.15805621865973 55.59650442489746,-21.15836813991125 55.59689865570471,-21.15852985122206 55.597063645815,-21.15898772876715 55.59693653922092,-21.15905668316655 55.59660434941337,-21.15881912528285 55.59619035093849,-21.15893440100459 55.5957556435217,-21.15881419171803 55.5956429705156,-21.1589591597679 55.5967489342604,-21.15952764812337 55.59664811373473,-21.15968682736499 55.5961022899543,-21.1596741581285 55.59612983827215,-21.15984122497772 55.59672020562908,-21.15991469523663 55.59675772501741,-21.16011008804231 55.59626505839212,-21.16011314062888 55.59613314563585,-21.16025982281084 55.59611739484542,-21.16074323742296 55.59601594084914,-21.16079463258121 55.59562638329872,-21.16067949632578 55.59512372649869,-21.16170202372755 55.59488597081593,-21.16171119589298 55.59435721369678,-21.16136769643151 55.59396157453545,-21.16153305083702 55.59366434958252,-21.16114819466252 55.59336133420879,-21.16148234926193 55.59304146419693,-21.16128774527184 55.59240107787328,-21.16128165047214 55.59238595003706,-21.1614837823445 55.59293665981923,-21.16148688911247 55.59299872688456,-21.16185579066162 55.59329790293032,-21.16204612359816 55.59357102515051,-21.16187783163584 55.59383037354116,-21.16204226490733 55.59420044560062,-21.16190575075379 55.59437387015345,-21.162142581424 55.594339321052,-21.16235438371305 55.59460523853487,-21.16241355592578 55.59486914323606,-21.16232518984445 55.59511048032693,-21.16256209816175 55.59565589276581,-21.16258783760724 55.59625578548695,-21.16210578481545 55.59638544072899,-21.16187798356538 55.59674532786312,-21.16167932358561 55.59688864306938,-21.16182905980921 55.59653279476532,-21.16201314722741 55.59608096575691,-21.16288945270232 55.59563126527292,-21.1629260609697 55.59418294151543,-21.16327324285927 55.59388517986027,-21.16305123395994 55.59356688446944,-21.16327897782891 55.59319243182081,-21.16325941757494 55.59297397978149,-21.16343833938637 55.59268037488513,-21.1633639164704 55.59224681870953,-21.16353062600073 55.5922093652302,-21.16311971880964 55.59202534994625,-21.163131170838 55.59172230392815,-21.16351469626472 55.59147169718843,-21.16347819942045 55.59116787804378,-21.16306119448221 55.59056182621202,-21.16275848697547 55.59045915783493,-21.16291422086839 55.59066930495563,-21.16318900103328 55.59114917800207,-21.16406294197192 55.5909657921317,-21.16426689875458 55.59059323925787,-21.16421226619368 55.58948516426509,-21.16427573789423 55.58928668435404,-21.16448915456097 55.58880413179549,-21.16560634424873 55.58813270107219,-21.16604120690204 55.58739379524671,-21.16629291424337</coordinates>
        </LineString>",-21.15634344185568 ,55.60243278934193
PC_s,nez couper de Sainte-Rose,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.72361298372604,-21.20744591128693 55.72339006793322,-21.20724400454737 55.72321441148697,-21.20719781700493 55.72305931058081,-21.20704085641259 55.72279203325506,-21.20699704755812 55.72262304475576,-21.20699092524133 55.72250691369256,-21.20705094940007 55.72236583234066,-21.20700274635552 55.72203302529845,-21.20698393424263 55.72174923054787,-21.20688670118623 55.72152342099558,-21.20678584456601 55.72113500538522,-21.20665033407514 55.72087974227108,-21.20663862365774 55.72069215215104,-21.20660403947489 55.72015351570771,-21.20666558120159 55.71981487339766,-21.20671011687266 55.71959240571064,-21.20678554204129 55.71931334793791,-21.20693480453684 55.7189168963559,-21.20703342129676 55.71869764278149,-21.2070432449573 55.71853143626235,-21.20715006253333 55.71831664175147,-21.20718653511549 55.71784449745505,-21.20736045867912 55.71766846244616,-21.20741624595446 55.71766556215725,-21.20741603983864 55.71756774688637,-21.20758702408862 55.71736554586249,-21.20761820664821 55.71701215313207,-21.20782875244881 55.71613285651423,-21.2080705793744 55.71520387453521,-21.20826447698005 55.71421022999444,-21.20888118247363 55.71315820207906,-21.20995425443558 55.71203518318058,-21.21110241430816 55.71134563501292,-21.21240145438642 55.71064971620566,-21.21305051476639 55.70990592926142,-21.21390090748388 55.70899074635479,-21.21461266693915 55.70774847145763,-21.21509378353244 55.70655146024473,-21.21585935410526 55.70555455533294,-21.21671857633489 55.70484572758027,-21.21745078823451 55.70349039203389,-21.21855353451918 55.70264371206434,-21.21917535987873 55.70191789624927,-21.21919772295883 55.70105184468569,-21.21952479299306 55.69998954096016,-21.219287016326 55.69938016366896,-21.21923081474423 55.69839020777366,-21.21942669173409 55.69701525226834,-21.21973280519939 55.69530926173828,-21.2199951583634 55.69486518560441,-21.22021136496862 55.69484345382588,-21.22022158582611 55.69379952940989,-21.2205953194783 55.69285765415913,-21.22089090082775 55.69164539688748,-21.22148734584808 55.69045584767283,-21.22186281355612 55.68984203859323,-21.22217355679557 55.68899421541038,-21.2223708614459 55.68845962617567,-21.22235761885153 55.68780982054615,-21.22262203828294 55.6872232422675,-21.22309217502023 55.68674503497999,-21.22363921089831 55.68629103002822,-21.22383451797196 55.68577127615897,-21.22472908557995 55.68576241697599,-21.22472606823036 55.685097062316,-21.22538000628224</coordinates>
        </LineString>",-21.20744591128693 ,55.72361298372604
PC_s,Volcan Le Piton de La Fournaise,terrain*hiker,"Point chaud de l'Océan Indien,
il se situe à la pointe Sud de l'île,
et l'agandi encore de jour en jour.

Accessible en suivant la route du volcan depuis la maison du volcan
à la Plaine des cafres","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.67918801743895,-21.25034344782976 55.68238758313085,-21.2636220330094 55.68842958432335,-21.2701738485386 55.69989766341625,-21.27794205141306 55.70700222539665,-21.28624982686187 55.71499500993825,-21.28768139598786 55.7295183779396,-21.28720113065422 55.73889809281578,-21.28330075793067 55.74302543412021,-21.28169127474093 55.75265123460028,-21.28376404080196 55.76336639949505,-21.2681847160518 55.77052166046656,-21.25189550885666 55.77225470951669,-21.23606343978959 55.76563509438132,-21.21534666203928 55.74950345042165,-21.20317121807371 55.73450509539019,-21.20334525163382 55.72209761272666,-21.20686321577091 55.68751288556057,-21.22246443338808 55.67916019186896,-21.23935858611465 55.67918801743895,-21.25034344782976</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.25034344782976 ,55.67918801743895
PC_s,route plaine des Cafres bois Court,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.55317915295196,-21.2204800035128 55.55318579631826,-21.21966447882892 55.55312555360204,-21.21922663643545 55.55203240223068,-21.21803235397894 55.55164398991647,-21.21668316058851 55.55149399646797,-21.21601241540268 55.55193809466207,-21.21492197747348 55.55183444465001,-21.21441483391868 55.55257711708155,-21.21352271912597 55.55243265448964,-21.21310771598622 55.55190073467896,-21.21278562154233 55.55085793007098,-21.21292146762864 55.55055171461964,-21.21275908077279 55.55034415014947,-21.2125282185584 55.55023951086297,-21.21219362063783 55.54994324516526,-21.21203022878865 55.54965011999964,-21.21162603617715 55.54949528958615,-21.21143989978987 55.54798283403505,-21.20901824422182 55.54644606398123,-21.20644781566327 55.54620663460143,-21.20578591883878 55.54564905387358,-21.20538514485928 55.54478012721847,-21.20364323134385 55.54402243631046,-21.2030657161431 55.54337290288857,-21.2020325937132 55.54343546973256,-21.20159869091294 55.54295353680621,-21.20115884093954 55.5421089103871,-21.20008907919615 55.54101632845678,-21.19910777572132 55.53928220906629,-21.19683090083555 55.53781548867276,-21.19487105961964 55.53673168445287,-21.19285818626555 55.53682368934116,-21.19275744058598 55.53758396694057,-21.19254790934888 55.53767519064829,-21.19236180340504 55.53766637960404,-21.19210842421199 55.53731515488273,-21.19174332640849 55.53713491267569,-21.19160141469595 55.53691746153914,-21.19109601901496 55.53693796140836,-21.19082917535799</coordinates>
        </LineString>",-21.2204800035128 ,55.55317915295196
PC_s,sentier bois court grand Bassin,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.53683934027458,-21.19052774738885 55.53653656162839,-21.19050374816049 55.53646038787326,-21.1904692145821 55.53634075263579,-21.19050216937898 55.53633647332604,-21.19050248389862 55.53616280104118,-21.19043134103195 55.5359731188415,-21.1904863681694 55.53584724541486,-21.19047051713139 55.53545896728978,-21.19048645411099 55.53443553147105,-21.19108963767084 55.53407378358035,-21.19147598109984 55.53376137653718,-21.191625232085 55.53334628942643,-21.19173772864337 55.5322903232976,-21.19202340793911 55.5316940470477,-21.1924336812307 55.53134763469312,-21.19251843453933 55.53111963947055,-21.19249705575101 55.53065141187388,-21.19267100348812 55.53041820394284,-21.19281702705602 55.53019859286155,-21.19278868901968 55.52987635822814,-21.19275681426376 55.52974671563791,-21.19258127274807 55.52973605465135,-21.19256777001873 55.52959266141472,-21.19245222403928 55.52941956303717,-21.19248428938146 55.52941377910815,-21.192485184363 55.52929751883496,-21.19238693937879 55.52944006830681,-21.1922017798287 55.52925221083051,-21.19210582843483 55.52910527616868,-21.19190133843564 55.52924198975271,-21.19178462255043 55.52939779047571,-21.19178919714447 55.52965406757831,-21.19197858188775 55.52980935830445,-21.19196254025466 55.52997381488814,-21.19210282563032 55.53013004302387,-21.19203290822883 55.53034657773817,-21.19204934634196 55.53063920576997,-21.19174914075973 55.53081943162042,-21.19176563823334 55.53097485607309,-21.19169982699389 55.53143132893889,-21.19126621167514 55.53161816935561,-21.19124097623425 55.53182130099466,-21.1909768294595 55.53202450873412,-21.191085780525 55.53222181493509,-21.1911290232362 55.5325121132908,-21.19084078708138 55.53262562265324,-21.19041055403421 55.53292664270069,-21.1904339157466 55.533359818795,-21.19012061614573 55.53358644765396,-21.18984250561603 55.53389886306644,-21.18932344953129 55.53416235998584,-21.18919750448716 55.53411295448689,-21.18893715534598 55.53443637273891,-21.18863780426626 55.53430348100793,-21.18864729774594 55.53438265360125,-21.18858729461143 55.53411671220139,-21.18864755880293 55.53438716896331,-21.18854453067474 55.53429791485707,-21.18852015263624 55.53432808579114,-21.18846949442559 55.53425351404265,-21.18830087532713 55.53409208065722,-21.18835771842472 55.53442924151914,-21.18811585379661 55.53413152051475,-21.18822259106994 55.53434642295629,-21.18807334526672 55.5339985477092,-21.18799001486584 55.53428057018741,-21.18786305031009 55.53468396105612,-21.1878702236064 55.53487819585968,-21.18781782761895 55.53495896106262,-21.1879062738901 55.53514307403845,-21.18780215972267 55.53533482506725,-21.18776045284782 55.53545031433885,-21.18771265459583 55.53517837188817,-21.18763898923796 55.53527769507023,-21.18752373555142 55.53514952938474,-21.1874968857822 55.53538962664975,-21.18741521019021 55.53479992523252,-21.18740339046698 55.53483270073445,-21.1873157309746 55.53470848768966,-21.18720384378413 55.5349670156981,-21.18712345033483 55.53479332799363,-21.18703180070309 55.53504713236561,-21.18682157932594 55.53466995439301,-21.18688179938885 55.53517336689875,-21.18658714696139 55.53470738594111,-21.18671148660211 55.53501680199987,-21.18650810548655 55.53464546318237,-21.18658534063192 55.53482308332259,-21.18642960418477 55.53449926939155,-21.18644469523196 55.53485548979158,-21.18622340343425 55.53484765213529,-21.18622136676024 55.53454046389615,-21.18626895436847 55.53488420986977,-21.18601609430833 55.53488187421796,-21.18601357674073 55.53460540661902,-21.18589762669646 55.53489170351364,-21.18577402137298 55.53488420932678,-21.18577207189203 55.53444912566083,-21.18558935849852 55.53419277887875,-21.18533714995379 55.53369581454784,-21.18524926022592 55.53352024203755,-21.18507243417227 55.53346881915835,-21.18482058817497 55.53328265774461,-21.18464589196189 55.53325376489786,-21.18462249040908 55.53312914019865,-21.18454586984637 55.53312423266547,-21.18454191223526 55.53261994817501,-21.18428414499649 55.53263597566402,-21.18407743898487</coordinates>
        </LineString>",-21.19052774738885 ,55.53683934027458
PC_s,sentier grand Bassin,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.53504254371504,-21.18090221451898 55.53731991853209,-21.18062388976756 55.53943834015267,-21.17872406132076 55.54026062665177,-21.17696345568427 55.53898941508408,-21.17594579170484 55.5372862069302,-21.17571881478149 55.53614077576759,-21.17482928563884 55.53615716554431,-21.17325723453597 55.5346423229668,-21.17218486918258 55.53453770307673,-21.17069716853972 55.53330446131216,-21.16979392646533 55.53409567756955,-21.16677467554604 55.53465946607423,-21.16404617087279 55.53479704014671,-21.16173351357172</coordinates>
        </LineString>",-21.18090221451898 ,55.53504254371504
PC_s,sentier piton Bleu,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.53889885219627,-21.17601733638308 55.54007171211799,-21.17425812992003 55.53999412701103,-21.17321477595563 55.54044997836919,-21.17191784560847 55.54161298570383,-21.16994154759218 55.54316307581726,-21.16830984308853 55.5448029684084,-21.16674498021916 55.54519841894913,-21.16590043123726 55.54534704432853,-21.16505836832901 55.54614608376345,-21.16405798960188 55.54684073093478,-21.16455570559543 55.5476947969809,-21.16552969967508 55.54885845961981,-21.16629371589119 55.54982372321238,-21.16661502557718 55.55166734313513,-21.16719715867408 55.55234256373321,-21.16662624529925 55.55383693188135,-21.16472708672698 55.55431193060712,-21.16241726153166 55.55678758856486,-21.16061567203136 55.55740992897015,-21.16064988311145 55.55850135206053,-21.16030825999124</coordinates>
        </LineString>",-21.17601733638308 ,55.53889885219627
PC_s,route traversant la plaine des Cafres,hiker,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.58741968692792,-21.1662869925329 55.58605041671579,-21.167736172961 55.58621843649069,-21.16864863598205 55.58538122538612,-21.17199085473051 55.58120807351131,-21.17533250255935 55.57957721168493,-21.17859872941888 55.57927872728214,-21.18237115583893 55.5800024406374,-21.18652783539342 55.57900705113632,-21.19612217450375 55.57895183461746,-21.19696728949368 55.57673446417806,-21.1989479891371 55.57574202084952,-21.19929913777225 55.57473368819115,-21.19940957667374 55.57418770726686,-21.19999549634083 55.57434221287045,-21.20074191683634 55.574143177856,-21.20111864636177 55.57432322807118,-21.20195724026121 55.57368475237768,-21.2029820448298 55.57240629465515,-21.20417123282391 55.57127560901678,-21.20488288532136 55.57016386776791,-21.20507366542982 55.56751732955893,-21.20737165483003 55.56733339119511,-21.20923592081132 55.56675293873072,-21.21042211695471 55.56680745928381,-21.21109905107531 55.56502516692056,-21.21390285173593 55.56402632596247,-21.21440964151442 55.56349100248401,-21.21507288719888 55.56327004934876,-21.21586577851839 55.56280985785809,-21.21628125618976 55.56212593496178,-21.21647073863056 55.56101687073963,-21.21751605298305 55.56091980243951,-21.21809140048526</coordinates>
        </LineString>",-21.1662869925329 ,55.58741968692792
PC_s,sentier volcan cassé de la rivière de l'Est,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.6860331560797,-21.21766967806158 55.68482820164811,-21.21754117964252 55.68514242249935,-21.21716449321665 55.68560564926365,-21.21710107290206 55.68579717926339,-21.21676368590894 55.68675265610936,-21.21675293896753 55.68689175852101,-21.21678091346059 55.68707216790624,-21.21659995426372 55.68728129511143,-21.2166093240875 55.68758637245558,-21.21647538878343 55.687658240548,-21.21612800702269 55.68811066086548,-21.21605135755429 55.68842166864661,-21.21588373739916 55.68877598202306,-21.21592414031575 55.68886769003755,-21.21570202041505 55.68920422305889,-21.21566201395769 55.6893410154711,-21.21542617469468 55.68957697169028,-21.21542714218176 55.68907519107881,-21.2153108859508 55.68830666513926,-21.2150385389585 55.68767727090828,-21.2150493331843 55.68686679764372,-21.21518905975143 55.68649501731026,-21.21516603774201 55.68601380353731,-21.21506062395148 55.68542870909646,-21.21505939611718 55.68487158422868,-21.21505259286008 55.68421514062625,-21.2150295511084 55.68387343843442,-21.2152107939262 55.68370420903243,-21.21509617199438 55.68457925889888,-21.21457130177319 55.68505306353485,-21.21451025837498 55.68539566021488,-21.21432973378553 55.68604004343687,-21.21411322662263 55.68655864693221,-21.2140956310289 55.68734882177316,-21.21387280626568 55.68738545593198,-21.21377647963321 55.68693600958814,-21.2138005896145 55.68682732360492,-21.21369750641571 55.68695664676335,-21.21354706007372 55.68729912803178,-21.21349973579633 55.68766292473186,-21.21349647527844 55.68809916569481,-21.21355425646891 55.68836942740288,-21.21340776340668 55.68895634018936,-21.21338249438478 55.68985732515223,-21.2132460486382 55.69074661784252,-21.21302494059143 55.69196562263161,-21.21268606172392 55.69275504323903,-21.21189956688799 55.6923709580573,-21.21043985039009 55.69399506923102,-21.20932149792277 55.69449133064458,-21.20817760507941 55.69430823305004,-21.20722104517605 55.69529232652744,-21.20558993498561 55.69597740812718,-21.20467918319075 55.69799766476662,-21.20362536823567 55.70024185514598,-21.20194585957628 55.70125885674256,-21.20149335497293 55.7012079370407,-21.20154080361714 55.70196000277879,-21.20040076430614 55.70313107963188,-21.1990241412658 55.70516421235899,-21.19819097061548 55.70729699504062,-21.19632013110278 55.70914339763855,-21.19439660327866 55.7104997358727,-21.1926734848934 55.71224976815058,-21.19186046659127 55.71292546826368,-21.19120295725206 55.71302249644646,-21.19075779906316</coordinates>
        </LineString>",-21.21766967806158 ,55.6860331560797
PC_s,sentier fond de la rivière de l'Est,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.69611136990131,-21.18468978096549 55.69558603147865,-21.1855976692802 55.69485151718328,-21.18600527219054 55.69410169634852,-21.18598843789826 55.69302599526989,-21.18590897291536 55.69227190023058,-21.18608830478979 55.69161907193965,-21.18662592011071 55.69090412023489,-21.18663432422823 55.68993218788831,-21.18685784255603 55.6894685705022,-21.18700821624487 55.68915821055134,-21.18723910157934 55.68857662291249,-21.1871796129672 55.6880253618135,-21.18666358051372 55.68718293057398,-21.18635723960814 55.68678736713116,-21.18640709617759 55.68564675729817,-21.18615703091613 55.68494060468713,-21.18554318065786 55.68435205056249,-21.18547858875935 55.68345421642777,-21.18494278570172 55.6826463773017,-21.18465551773955 55.68202517361357,-21.18463750018691 55.68174873486444,-21.18448692615166 55.68114925167932,-21.18450530100603 55.68061253436703,-21.18481115388079 55.68000584272415,-21.18478139929312 55.67967292973875,-21.1849360441073 55.67940373524479,-21.18491767004677 55.678968121575,-21.18524496886423 55.67876754215416,-21.18545210610888 55.67865758283578,-21.18544544807169 55.67855412870886,-21.18556196145832 55.6774508898987,-21.18618637563884 55.67701986495085,-21.18654644247829 55.67645613689088,-21.1871547984002 55.67596700597458,-21.18737995360717 55.67608349981664,-21.18770915231674 55.67589143213625,-21.18809570635317 55.67539515015137,-21.1893209304812 55.67490069359703,-21.19070519260471 55.67443841911621,-21.19193089776359 55.67404200234113,-21.1925384151528 55.67287017764339,-21.19320538592303 55.67242133546419,-21.19422515902572 55.67084201639851,-21.19497704012649 55.67032257542343,-21.19598005032221 55.66978408863303,-21.19627056758804 55.66906635753937,-21.19625661830319 55.66797876461271,-21.19702643123863 55.66670251982266,-21.19821100898136 55.66591652506947,-21.19887640202649 55.66557874834157,-21.19894673511364 55.66529852782295,-21.19944588022092 55.66449837958124,-21.20083486126932 55.66410793929928,-21.20107838171482 55.66360045664926,-21.20093861528844 55.66230938229687,-21.20163778559973 55.66183780850613,-21.20231777010327 55.66137463213204,-21.20256985298164 55.66132073439256,-21.20310832742977 55.66081451353876,-21.20317985997673 55.66043978797624,-21.20337296323828 55.65971890204038,-21.20358126551483 55.65963588247538,-21.2038177720846 55.6589277265461,-21.20447437336649 55.65828771815604,-21.20449754381849 55.65812159018012,-21.20484005958757 55.65794958481047,-21.20488099882755 55.65740621428056,-21.20598018474677 55.65667177736868,-21.20691803424219 55.65612303174,-21.20811442796788 55.65554439070628,-21.20901107712514 55.65506592011513,-21.20956312236665 55.65464339319034,-21.21043131779452 55.65443142466414,-21.21077907608293</coordinates>
        </LineString>",-21.18468978096549 ,55.69611136990131
