id,nom,categ,description,geometry,lat,lng
Ma_s,plaine des Tamarins col de la Fourche,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.44843078287915,-21.07715682995507 55.44915587814094,-21.07735088830634 55.45066186025495,-21.07901006226512 55.45225634747695,-21.07898424338191 55.45319493857332,-21.07909381751112 55.45304103926307,-21.07856859836445 55.45364802279422,-21.07838548319121 55.45424728214081,-21.07865508750266 55.45489628233577,-21.07892670751009 55.45543913776952,-21.0790987225619 55.45629081456787,-21.07927883045294 55.45678619894646,-21.07947612303312 55.45725636633432,-21.07947162690036</coordinates>
        </LineString>",-21.07715682995507 ,55.44843078287915
Ma_s,col de Boeuf col de Fourche,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.44781085375277,-21.06443152168404 55.4478336386855,-21.06455206884786 55.44769784758651,-21.06480004500465 55.44783207898241,-21.06522643619474 55.4478354351758,-21.06589068622265 55.44798051921429,-21.0662844324314 55.44831761357874,-21.06685914866085 55.44839899748957,-21.06680695966362 55.44826151004296,-21.06628993885694 55.44833197760535,-21.06582024043884 55.44849891014344,-21.06577978002243 55.44858015483651,-21.06596562532464 55.44878454720643,-21.06626386821031 55.44882010974184,-21.06637253939105 55.44928528447605,-21.06659110436156 55.44954276550881,-21.06652425338103 55.44978639409097,-21.06608129356595 55.44995369382166,-21.06520196605854 55.45035825280248,-21.06503103686467 55.45068289204471,-21.06507213460289 55.45090083817731,-21.06552535479329 55.45101602931004,-21.06603501686077 55.45098090825672,-21.06681863700462 55.45061024333432,-21.06736136521089 55.45058400437831,-21.06736786733453 55.45027553379947,-21.06741585650942 55.45019714744187,-21.0682157851737 55.45012217265125,-21.06846704058606 55.45016477900861,-21.06889223159791 55.45016280268203,-21.06889419160251 55.45023581375334,-21.06915377360232 55.45032874547933,-21.06914575065998 55.45031841939706,-21.06877186898517 55.45041917105872,-21.06871636254557 55.45052848635687,-21.06902313122503 55.45067318854023,-21.06937361739055 55.45081650524203,-21.06948238604666 55.45133858508305,-21.06975977112147 55.45147464955205,-21.06967253335364 55.45168603566302,-21.06973185188783 55.4516739622936,-21.06994733205206 55.45181672935383,-21.07005981414742 55.45204058975236,-21.07028110186691 55.45227721134025,-21.07060906137926 55.4523220407517,-21.07108686568508 55.452198269652,-21.07157268859523 55.4522067421087,-21.07183875595469 55.45246936423065,-21.07217807766122 55.45255414249641,-21.07232029582264 55.45293549376221,-21.07231372366639 55.45317102181089,-21.07251893687043 55.45347343506449,-21.0724795038113 55.4535205858012,-21.07240818126794 55.45379834698923,-21.07237481178302 55.45390362290911,-21.07231987292676 55.45414646267913,-21.0722970848258 55.45432296859695,-21.07237366579471 55.45443241118794,-21.07233210711577 55.4544276944196,-21.07215044893044 55.45452784516394,-21.07204199613824 55.45463826877624,-21.07209478959123 55.45506524057169,-21.0719808857183 55.45523600004014,-21.07213123277006 55.45545140632205,-21.07228937059891 55.45580974826662,-21.07272559020904 55.45570667393468,-21.07301668400849 55.45579672237031,-21.07320205519642 55.45590844976319,-21.07346216739177 55.45579258249423,-21.07365304106575 55.45591921870904,-21.07394196337957 55.45597132831493,-21.07421074341377 55.45594247248463,-21.0743989476649 55.45602652613916,-21.07460558620807 55.4560055672863,-21.07475832158045 55.45611130952253,-21.0749071935252 55.4560381958185,-21.07514202751405 55.45601971309214,-21.07526898140967 55.45609965686969,-21.07563893016625 55.45600847199582,-21.07598681322653 55.45604195009253,-21.07611605186674 55.45621379494217,-21.07619267288536 55.45638964645931,-21.076494149345 55.45662418159347,-21.07674864959733 55.45665979224499,-21.07698695703282 55.4569427626832,-21.07731074798236 55.45704517487822,-21.07747591000178 55.45732234235905,-21.07766420066995 55.45740272967459,-21.07778451344936 55.45750460403592,-21.07827449933979 55.45739824186748,-21.07886123666591 55.4572565321309,-21.07946817971641 55.45700147130558,-21.07952258774236</coordinates>
        </LineString>",-21.06443152168404 ,55.44781085375277
Ma_s,plaines des Tamarins plaines des Boeufs,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.44748059287915,-21.07827028510118 55.44762146056488,-21.07820717157901 55.44763072935564,-21.07808812307128 55.4476983002325,-21.07806322777902 55.44769559153949,-21.07795749403243 55.44781019492852,-21.07795927688511 55.44803737351962,-21.07784517265007 55.44824499510636,-21.0778097546297 55.44840321937193,-21.07777375987277 55.44845756576144,-21.07766792191806 55.44851337119596,-21.07752481807068 55.44871444845182,-21.07749128288431 55.44868619191183,-21.07723229459005 55.44868075963871,-21.07723173320133 55.44851135281286,-21.07727380112902 55.4484957284809,-21.07700046146863 55.44832158302076,-21.07696973967634 55.44829954138665,-21.07673470074006 55.44844538064864,-21.07670025515055 55.44848652652533,-21.07656298966209 55.44842905929588,-21.07650557454731 55.44855462828814,-21.07645080965167 55.44864883158718,-21.07631578320731 55.4486055351828,-21.07611771373015 55.44867350496282,-21.07603796254395 55.44881341124564,-21.07591035472433 55.44889758616526,-21.07582552880246 55.44879170118517,-21.0756413083153 55.44890693425815,-21.07545033218815 55.44895490958552,-21.0751012309927 55.44910223155509,-21.07492055185025 55.44903514186876,-21.07481252369277 55.44890431156043,-21.07445350063636 55.44894938084542,-21.074299196385 55.44889907709666,-21.07420758697844 55.44884703202868,-21.07401476229246 55.44885958853142,-21.07390555487831 55.44877806601032,-21.07394874516777 55.44867750612063,-21.07385572073994 55.44866299972387,-21.07361208482092 55.44871197192648,-21.07338725411031 55.44854933815243,-21.07321150874715 55.44861512500102,-21.07307083619259 55.44857946616556,-21.07295655094029 55.44857336716583,-21.07296012116181 55.44851391107322,-21.0727349501127 55.44835901997237,-21.07269524525865 55.44836993712114,-21.0726215423348 55.4483654266242,-21.07256963201622 55.44828151234204,-21.07248511069188 55.4482576093204,-21.0723487598972 55.4481728518222,-21.07226114827935 55.44811783499936,-21.07220503885389 55.44815541418274,-21.07215600460699 55.44832142424892,-21.07215494102298 55.44835866388601,-21.07207996375551 55.44840449566483,-21.07201230661597 55.44840162489698,-21.07190061261703 55.4484108833023,-21.07185716750876 55.44844476873647,-21.07184653454286 55.44848512640932,-21.07190269087419 55.44853314535802,-21.07186876259995 55.44850189564123,-21.07177013173334 55.44847760906981,-21.07167005734553 55.44845098141676,-21.07160651859003 55.44845526851059,-21.07153266719422 55.44843683652136,-21.07145192093543 55.44845006765407,-21.07136001805647</coordinates>
        </LineString>",-21.07827028510118 ,55.44748059287915
Ma_s,<b>route du col des Boeufs,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.46099090223007,-21.04350560293214 55.46098551271004,-21.04348265719172 55.46085788562762,-21.04326031730854 55.4606781916557,-21.04333534168641 55.46028795784235,-21.04385392827079 55.46027335191122,-21.04387779498804 55.46006666684502,-21.04421286655234 55.45920966351528,-21.0444979837514 55.4589444282916,-21.04482356034907 55.45847805421956,-21.04514992074187 55.4580916930201,-21.0457177387954 55.45797685311558,-21.04563054158809 55.45814086405539,-21.04514322644758 55.45809384096956,-21.04503661361401 55.45798881434067,-21.04517476148152 55.45793801555785,-21.0453283163975 55.45777369161586,-21.04562090066273 55.45766535966079,-21.04553694350203 55.45775600319161,-21.04519043498597 55.45779707356581,-21.04495481287133 55.45774096603541,-21.04482040704304 55.45777698683259,-21.04446521528777 55.45782090151359,-21.04413398458754 55.45805563883367,-21.0440764390769 55.45844370394204,-21.04420354745301 55.45849137032447,-21.04407348653824 55.45774675303974,-21.04372731546709 55.45760522961897,-21.04381223954069 55.45728635338445,-21.04412811048888 55.45703209394634,-21.04484950476644 55.45669630604014,-21.04520618067238 55.45687260269268,-21.04577614236445 55.45687467991465,-21.04577658401249 55.45706081687032,-21.04635064789339 55.45723701804957,-21.04693136096364 55.45731059215186,-21.04734762861251 55.45676083105951,-21.04795932920739 55.45657426651973,-21.04823019111251 55.45674548503488,-21.04869815621318 55.45686386539773,-21.04920115407917 55.45702099313948,-21.04936115820285 55.45740976731492,-21.04989376511775 55.45756824938896,-21.05013413209024 55.4574950267926,-21.05035622793194 55.45719874236545,-21.0504271623905 55.45691977852452,-21.05021696049008 55.45647445509776,-21.04985125343193 55.45613516044124,-21.04946093221755 55.45599087550482,-21.0489305130329 55.4558263219876,-21.04841950405026 55.45574431591111,-21.04778881242564 55.45562536133362,-21.04731216665578 55.45562503611038,-21.04731357214882 55.4557427868176,-21.04701280457148 55.45594234922206,-21.04679037226907 55.45593434638537,-21.04656852489651 55.4557869479485,-21.04659149878204 55.45578535331644,-21.04659880065018 55.45578503444842,-21.04660026077088 55.45558071663059,-21.04686025341679 55.45558010022428,-21.04686312684141 55.4551389214851,-21.04730400499107 55.45516952433108,-21.04776646377617 55.45525605767149,-21.04818538814687 55.45534431449616,-21.04851936357025 55.45513576758744,-21.04857046054793 55.45506150832392,-21.04809311012166 55.45505882793066,-21.04809749939598 55.45505685217925,-21.04810705221414 55.4550567461763,-21.04810827690094 55.45485633694226,-21.04770890149124 55.45469850952638,-21.04724411934967 55.45469570484939,-21.04724764237489 55.45502074143636,-21.04672825619956 55.45519649177627,-21.04642345929386 55.4550841688451,-21.04638241163039 55.45486873986769,-21.04667586154212 55.45453743287403,-21.04701473626558 55.45437127749814,-21.04732268824817 55.45439595885425,-21.0478451586383 55.45451199061305,-21.0483954815818 55.4548034663072,-21.04917593079901 55.45467891594284,-21.04968113849301 55.45465556230614,-21.04982797666379 55.45449918633802,-21.05035612412383 55.45461484185385,-21.05067074892371 55.45455785941149,-21.05114984401607 55.45492787563511,-21.05299532397896 55.45471538424593,-21.05430649690484 55.45452733488646,-21.05488424597244 55.45434734700694,-21.05484621029519 55.45437270531178,-21.05462610287961 55.45456537369792,-21.05392348422957 55.45453112958154,-21.05376394669835 55.45456521140748,-21.05353924806486 55.45435440795499,-21.05315360738506 55.45394152534129,-21.05302753215825 55.45374004871926,-21.05275397079894 55.45345088288988,-21.05286731939234 55.4534022115774,-21.05301228430223 55.45323852503366,-21.05312400945315 55.45297716284435,-21.05320855610255 55.45253977829025,-21.05365159112673 55.45222091612774,-21.05373712405491 55.45226377710987,-21.05386176634228 55.45250962956641,-21.05384774135502 55.45317120830089,-21.05346156535888 55.45324479642823,-21.05357418890149 55.45265765776578,-21.05409553001678 55.45237675996597,-21.05417900077011 55.45203879083088,-21.05412326157672 55.45199102686313,-21.05425068556174 55.45261845187604,-21.05436801977082 55.45317182666491,-21.05426054862375 55.4534695899899,-21.05417897712385 55.4535383715152,-21.05429413267887 55.45320902993313,-21.05445184758993 55.45300914427933,-21.05447989805051 55.45278989663713,-21.05467550630507 55.4525071987389,-21.055273677602 55.45265405687189,-21.05598722264336 55.45250736446337,-21.05643905045335 55.45271867115955,-21.0564414227206 55.45296655645836,-21.05620936825051 55.45313415904798,-21.05578030165551 55.45325935203258,-21.05545993089392 55.45343756338468,-21.05543696618503 55.45337331365312,-21.05610149239233 55.45339380033555,-21.0565978783788 55.45303746131344,-21.05713246948962 55.4524700329218,-21.05772988467711 55.45216837047751,-21.0579708019849 55.45222497219858,-21.05804316007738 55.4526472832157,-21.05784179301107 55.45278843927122,-21.05769683500343 55.45287188948902,-21.05775807362329 55.45249298948968,-21.0582980180353 55.45249079667505,-21.05830827275985 55.45255303020616,-21.05889070524655 55.45239902817845,-21.05916530195703 55.45250199343271,-21.05979508726051 55.45257468875381,-21.06042984439326 55.45248138390489,-21.06061361312066 55.45209960697082,-21.06085118510509 55.45168119969697,-21.06117073998415 55.45146771340671,-21.06115685486853 55.45116134951669,-21.06102251911083 55.45091780949298,-21.06109430946383 55.45034759129816,-21.06129392159838 55.45035123657921,-21.06153646492666 55.45048767844872,-21.0618654006584 55.45046877068732,-21.06218104010091 55.44999541895487,-21.06244672997711 55.4495215710947,-21.06261728263007 55.44918903177086,-21.06292791686612 55.44902506059701,-21.06304825328805 55.44873881707251,-21.06333453920367 55.44846097465138,-21.06358142708562 55.44784150718127,-21.06436215200535 55.44758961972196,-21.06479636305859 55.44765620615495,-21.06513468128152 55.44751456072898,-21.06572087525755 55.44725385391918,-21.06607546308493 55.4474721256137,-21.06651194732437 55.44725924114619,-21.0671792579097 55.4474076788442,-21.06737480942441 55.44725853137472,-21.06779053671903 55.4471066902792,-21.06797823401579 55.4471640932022,-21.06812337748483 55.44761781498513,-21.06833448781037 55.44773993106702,-21.06856749529272 55.44776406284787,-21.06887056251394 55.448092123997,-21.06927489292272 55.44813854650381,-21.06940859774504 55.44844244538779,-21.0695052041505 55.44850741602198,-21.06976362324184 55.44857614410886,-21.06997687718436 55.44876364275675,-21.070179430364 55.44862632163232,-21.07065697466022 55.44846788559918,-21.0710977496111 55.44829561432638,-21.07129461454787</coordinates>
        </LineString>",-21.04350560293214 ,55.46099090223007
Ma_s,sentier Scout,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.43206561667337,-21.03670922260526 55.43209575333808,-21.03636048733316 55.43280480497991,-21.03614451546447 55.43351056267287,-21.03652040354366 55.43403937813491,-21.0364916867531 55.43444525685306,-21.0365983591051 55.4351749730791,-21.0371367918757 55.43590989598671,-21.0376403636212 55.43662536187311,-21.03750677266826 55.43720876642934,-21.03668062945573 55.43773392261641,-21.03624249046372 55.43811505693719,-21.03593410540904 55.43816263916983,-21.03566439900078 55.4384519321443,-21.03533989913299 55.43910439447217,-21.03534011996078 55.43961188764654,-21.0355452856207 55.43959561543883,-21.03554531037742 55.43956666835622,-21.0355455046977 55.43984951887261,-21.03546262909929 55.44046169033098,-21.03565760773493 55.44085372604796,-21.03506139494581 55.44096613921202,-21.03496972780467 55.44130508638003,-21.03536570622421 55.44178600428967,-21.03645473665787 55.44251943571261,-21.03695223718604 55.44314721224234,-21.03746964898391 55.44342218256082,-21.03842342200199 55.44347068196969,-21.03937243735375 55.44360322476572,-21.03994686698142 55.44314648092796,-21.04106679126235 55.44314707512119,-21.04107089879174 55.44286529699124,-21.04151133090252 55.4430857897115,-21.04210821767671 55.44321460361087,-21.04244591272694 55.44385970326157,-21.04365747804234 55.44465956622332,-21.04457521423822 55.44484829192071,-21.04443641937927 55.44519598779962,-21.04511583600732 55.44559622514927,-21.04534688601521 55.44541079050276,-21.04627002172383 55.44568675953007,-21.04673025614666 55.4458331098146,-21.04750268488981 55.44509135390902,-21.04896723633756 55.44507873986421,-21.05015465808651 55.44527267895108,-21.05130802231853 55.44521845490854,-21.05138320815803 55.44527845478248,-21.05155908025872 55.44523579612852,-21.05176169753742 55.44516632799294,-21.05180050302892 55.44535828662999,-21.05211934446679 55.44543002083433,-21.05236636299945 55.44561320277262,-21.05254677850239 55.44576147205989,-21.05276588869896 55.4459075343994,-21.05272491775397 55.44602611646666,-21.05248337349479 55.44624886924604,-21.05213550747694 55.44623487822158,-21.0518494465146 55.44678550742732,-21.05181272511299 55.44707513612186,-21.05192494669928 55.44731080619268,-21.05184942894601 55.44765736074951,-21.05187765087225 55.44764853968421,-21.05189804524372 55.44764557792269,-21.05190389202548 55.44785785264078,-21.05213637077248 55.44802088634004,-21.05224412411193 55.44826424583323,-21.0521011668939 55.44845096926895,-21.05212934029011 55.44870233030657,-21.05241197486948 55.44904862325883,-21.05259190021242 55.44966593942132,-21.05247887509266 55.4499431758022,-21.05275564443644 55.45004163620948,-21.052769226752 55.45003543638158,-21.05277828857965 55.44989764924328,-21.05315450473745 55.45006834713307,-21.05353408767064 55.45031250642184,-21.0540732181065 55.45048573085611,-21.05403499419161 55.45063426018371,-21.05378893318407 55.45094777324266,-21.05378007967511 55.45099631173905,-21.05400767102976 55.45098472305933,-21.05401823273341 55.45123715659639,-21.0537850568867 55.45155901139685,-21.05404838418475 55.45182467328498,-21.05404649122568 55.45200130644205,-21.05412845881804</coordinates>
        </LineString>",-21.03670922260526 ,55.43206561667337
Ma_s,sentier Augustave,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.42201598765775,-21.01866277413864 55.42276724582069,-21.0180190660219 55.42385890732726,-21.01752852398999 55.42454888744462,-21.01700819270508 55.42504286299415,-21.01649474183925 55.42549601278662,-21.01650356577031 55.42612856333656,-21.01629266170986 55.42664395225823,-21.01623476605411 55.42680686394108,-21.01611911332073 55.42708284398808,-21.01567662458221 55.42742428632004,-21.01565670657806 55.42762791972846,-21.01588573370027 55.42855162502823,-21.01671391869829 55.43005335917616,-21.01753367516165 55.43145918947917,-21.01856374808929 55.43299443639323,-21.01942803614613 55.4339137601839,-21.02003897977242 55.43512611282566,-21.02148838625738 55.43572420952501,-21.02169009998395 55.43587216689184,-21.02179493496865 55.43637850282617,-21.02218583281247 55.43675047185788,-21.02265205595761 55.43720221050629,-21.02306971584136 55.43809751802129,-21.02409340324853 55.43867480579548,-21.02463555363274 55.44036930557519,-21.02647036101849 55.44098822543374,-21.02793730975717 55.44119585752503,-21.02898410338689 55.44191664598365,-21.03093381497996 55.44208972913663,-21.03197906047803 55.44297767661749,-21.03406261474419 55.44377308652533,-21.03571255759404 55.44317051368492,-21.03656204802979 55.44348113272399,-21.03780054625635 55.44378259268089,-21.03906465820318 55.44469122406218,-21.04031499249143 55.44444495743839,-21.04128710927535 55.44414037418319,-21.04209231510805 55.44541550424315,-21.0432884826365 55.44593837163851,-21.0443580845476 55.44778661609774,-21.04467521562295 55.44910555679006,-21.04522275724363 55.44942395211486,-21.04535652609841 55.45001924835127,-21.04491029095081 55.4505441221671,-21.04521436144599 55.45053843672877,-21.04521428348103 55.45103897196886,-21.04523729045977 55.45161893561424,-21.04520326249293 55.45165825290157,-21.04520360371334 55.45229366881382,-21.04510659767442 55.45233814002067,-21.04510737474377 55.4537498295167,-21.04482379528817 55.45424303855222,-21.04469973946921 55.45468043270668,-21.04505667093267 55.45491856252712,-21.04504950050975 55.45550616272016,-21.04494713265898 55.45620725346826,-21.04509129167405 55.45658991258036,-21.04517448437399</coordinates>
        </LineString>",-21.01866277413864 ,55.42201598765775
Ma_s,rivière des Galets Aurère,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.39573258157446,-20.99785129945599 55.39695734189094,-20.99827761587136 55.39734964836197,-20.9985125373467 55.39742576364459,-20.99876166866373 55.39816725744464,-20.99865218056744 55.3986597243793,-20.99892941844203 55.3987847015884,-20.99925553450405 55.39928656689637,-20.99997942753106 55.39959676829658,-21.00006775087651 55.39973819276759,-21.00005168520139 55.40012228621912,-21.00046449005539 55.40131330549437,-21.00074913372394 55.40188188092094,-21.00106455293891 55.4024279716454,-21.00110272174083 55.40297772344581,-21.00138318833418 55.40342020090418,-21.00183681225118 55.40383489894252,-21.00203720951933 55.40409107953153,-21.00217760516413 55.40432571771238,-21.00245304949827 55.40482845483609,-21.002351683998 55.4049400547494,-21.00289794908727 55.40573503152087,-21.00319685587502 55.40630931959566,-21.00322327562757 55.40683455953612,-21.00339482569403 55.40727537189851,-21.00388982252811 55.40763341212888,-21.00449884242832 55.40781052948351,-21.00480645013012 55.40839502952561,-21.00513360011066 55.40868190800188,-21.00567264185629 55.41006071097208,-21.0060475681146 55.4112610672713,-21.00665302734159 55.41165577327422,-21.00730056591566 55.41235069011498,-21.00825148752217 55.41314163532184,-21.00889943323528 55.41430500908989,-21.00900275163108 55.41547110122309,-21.00973983056397 55.4156180597601,-21.01044359928476 55.41586573543207,-21.01058747210901 55.41708314255759,-21.01141133987478 55.41726544169303,-21.01214939407561 55.41786735198289,-21.01314735245802 55.41905602027451,-21.01330685851224 55.4195094713979,-21.0138749404925 55.42085600720965,-21.01433658422827 55.42076371621405,-21.01508083475644 55.42129656722167,-21.01549513600422 55.42145407634559,-21.01614909329554 55.42119680706401,-21.01699145291429 55.42124543385828,-21.0175226943484 55.42116548498444,-21.01775675292135 55.42116407464387,-21.01794294635117 55.42135788800577,-21.01800928026771 55.42161634620754,-21.018140363881 55.42182064297114,-21.01826184990936 55.42197136131265,-21.01839686454781 55.42201954589382,-21.01859769894779 55.42210891988742,-21.01892565610081 55.42211028296062,-21.01935383286401 55.42218625688193,-21.01969945207001 55.42212081395841,-21.0200002250283</coordinates>
        </LineString>",-20.99785129945599 ,55.39573258157446
Ma_s,rivière Sainte-Suzanne,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.3911346681236,-21.00015461577714 55.39139625199708,-20.99972216374233 55.39224572169951,-20.99967584494917 55.39276673536098,-20.99934617033453 55.39322843489163,-20.99915192295343 55.3934673487056,-20.99904671681267 55.39348561975735,-20.99874072506159 55.3936483333565,-20.9984743721727 55.39390858731935,-20.99838881659158 55.39401782783479,-20.9981751490564 55.39422537299128,-20.99771653424296 55.39458245503817,-20.99757008249232 55.39487214392001,-20.99747925189103 55.39516788330116,-20.99759948944577 55.3955766842311,-20.99779100343572 55.39628737653817,-20.99788442948051 55.39665143467003,-20.99790768502679 55.39723806569587,-20.99767219959833 55.39724866580394,-20.99767832059159 55.3974298321777,-20.99719411326148 55.39811345440612,-20.99697765092398 55.39927175486553,-20.99674409682718 55.39948301038915,-20.99637709370341 55.39937808450411,-20.99599666953883 55.40018028730883,-20.99542632598686 55.40056104606837,-20.99503757795936 55.40087707832961,-20.99469291171257 55.40088361446765,-20.99467988159665 55.40108009943771,-20.99431550879022 55.40107397818771,-20.99430836392552 55.40123068514272,-20.99390072323629 55.40153557566451,-20.99375114494969 55.40192201224694,-20.99372974741642 55.40199152894442,-20.99380650584534 55.40210193581849,-20.99391588512431 55.40233795092866,-20.9939333421713 55.40248628550902,-20.99379050721794 55.40250530531855,-20.99377205154479 55.40277692538429,-20.99356237170113 55.40291327880035,-20.9934080008493 55.40306513896918,-20.99315427041578 55.4032752430249,-20.99290641970842 55.40356811214907,-20.9928083134879 55.40390338274377,-20.99287982818526 55.40429539938946,-20.9929434737502 55.4049007093992,-20.99262510704854 55.40526628453318,-20.99240529694523 55.40573409787879,-20.99261631402597 55.40613338281702,-20.99288810762707 55.40616870254031,-20.99293344837663</coordinates>
        </LineString>",-21.00015461577714 ,55.3911346681236
Ma_s,grande _ Place Aurère,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.40696041695531,-21.03852224570514 55.40697053945633,-21.03840534184401 55.40693448846232,-21.03802611271711 55.40681031377679,-21.03766209527387 55.40600524674655,-21.03761831765913 55.40563970464619,-21.03736389682197 55.40534765251854,-21.0369411809607 55.40524146000117,-21.03613176734739 55.40508737400549,-21.03569655479608 55.40493273131978,-21.03540836193403 55.4038837938588,-21.03509594499009 55.40316465061177,-21.03429929105428 55.40290929797068,-21.03329338671318 55.40278357920222,-21.03302729639407 55.40254322198247,-21.03289820094771 55.40237899737299,-21.03243952823176 55.40212203813709,-21.03185529093249 55.40183197157175,-21.03119070321767 55.40161506031629,-21.03071085928658 55.40127732089988,-21.03008235120097 55.40100785522862,-21.02950683698495 55.40061622028581,-21.02881959603785 55.40045587634124,-21.02821804133584 55.40044413361825,-21.02797145476413 55.40074359710136,-21.02769706021655 55.40121735576876,-21.02771742402343 55.40139642751111,-21.02759337990685 55.401403017706,-21.02760332493894 55.40161477769334,-21.02760728369716 55.4015616559777,-21.02773595797365 55.40157849981728,-21.02799343425749 55.40148531565066,-21.02827444647511 55.4014859443469,-21.02828289914041 55.40148427389992,-21.0283053994646 55.40147051646272,-21.02847826919354 55.4014682859143,-21.02848878210576 55.40155212076512,-21.02861771586207 55.40156159976213,-21.02861934643782 55.40157428000628,-21.0286177595659 55.40184672057313,-21.02863561547195 55.40182950069956,-21.02863804400878 55.40182667413142,-21.02863581686543 55.40189600430217,-21.02830469180026 55.40196577433736,-21.02809452044832 55.40251203742826,-21.02783062562203 55.40264126138025,-21.02742685754659 55.40280514716528,-21.02698253527865 55.40255266365302,-21.02677801908951 55.40287187671079,-21.02644903474926 55.40359554729566,-21.02606006740813 55.4036137261335,-21.02605933305431 55.40367459915846,-21.02577420985694 55.40380322290993,-21.0254324251418 55.40462212278209,-21.02519525805097 55.40422397079104,-21.02494427537774 55.40415794915487,-21.02460163364493 55.40411031829594,-21.02456329440034 55.4041011687812,-21.02438553211112 55.4037859165336,-21.02383895613449 55.40387644772043,-21.02325308833734 55.40404373359494,-21.02253834983832 55.40433231584224,-21.02270448533086 55.40441994731146,-21.02206133464351 55.40466057382098,-21.02180680091319 55.40601520993306,-21.0218738244007 55.40620670279225,-21.02280915992172 55.40699965889507,-21.02202200726443 55.40725511329422,-21.02189539502701 55.40791447773689,-21.02195028092854 55.40883980679992,-21.02252927830072 55.40989115753138,-21.02321735173292 55.41035833030926,-21.02291413476869 55.41116889194187,-21.02333581166269 55.41227987316167,-21.02350049457952 55.41315217285303,-21.02382084055359 55.41420161909508,-21.02414009979032 55.41462016999296,-21.02457559555851 55.41559691065423,-21.02476211541126 55.41604351486399,-21.02495830591249 55.41631329077632,-21.02527477907239 55.41674187621597,-21.02576809651218 55.41759582485304,-21.02577366755241 55.41856525037787,-21.02598581668029 55.41885554941667,-21.02582719784813 55.41984647595278,-21.02559637333317 55.41994098139526,-21.02496814174336 55.42017307697789,-21.02447356761694 55.42028706530485,-21.02390640051365 55.42087151647207,-21.02277573328994 55.42022401290185,-21.02177280081769 55.42018611559811,-21.02136179677397 55.42053320591962,-21.02091780462302 55.42126013910384,-21.02075997405314 55.42176184049591,-21.02027166819951 55.42208789007055,-21.01959046004217</coordinates>
        </LineString>",-21.03852224570514 ,55.40696041695531
Ma_s,Aurère _ ilet à Malheur,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.42205948723659,-21.02007946444484 55.42188499869463,-21.02049368462497 55.42156367660972,-21.02103554499213 55.42143097563304,-21.02125745758655 55.42163434643794,-21.0219175578376 55.42161293934107,-21.02192508743778 55.42195340138119,-21.02184119280474 55.42199097751436,-21.02169472495812 55.42269536454365,-21.02148946914884 55.42296021245767,-21.02140946159081 55.42315657984489,-21.02140051831614 55.42345749540686,-21.0211176379803 55.42375508163108,-21.02091172199246 55.42426112532984,-21.02080776531096 55.42452248077904,-21.02057670860166 55.42451875229213,-21.02033427149129 55.4245708789245,-21.02006097252598 55.42489748245322,-21.02005280138307 55.42499209682194,-21.02024927509252 55.42505701603808,-21.02053206458997 55.42514855200876,-21.02079526653713 55.42539694377602,-21.02086599261439 55.42563099186769,-21.02109905212972 55.42578725800402,-21.02134920441961 55.42599305711467,-21.02168972633022 55.42642337738121,-21.02183423220718 55.426569957747,-21.02194927221438 55.4267408436569,-21.02225518911332 55.42744233483013,-21.02251247006437 55.42762322767747,-21.0229410529189 55.42773860142239,-21.02320839785427 55.42812397228613,-21.02340626548021 55.42812693264587,-21.02342148427867 55.42822603809661,-21.02433455724601 55.42850658149623,-21.02518878367626 55.42869694637421,-21.02552734294507 55.42879286292305,-21.02583634686858</coordinates>
        </LineString>",-21.02007946444484 ,55.42205948723659
