id,nom,categ,description,geometry,lat,lng
Sud,Sud,http://runsense.github.io/js/img/blason/reunion.gif,"sauvage ou rurale, il reste le coin à part de l'ile, mène vraiment dans un monde différents, et est toujours aussi passionnant",,-21.27913739410871,55.59906005859375
Sud,Entre-Deux,http://runsense.github.io/js/img/blason/Entre-Deux.gif,"
<a href=""http://www.village-entredeux.fr/index/fr/"">http://www.village-entredeux.fr/index/fr/</a>
Situé entre les deux flancs, Saint-Louis, Saint-Pierre, le Bras de Cilaos(ouest) et le Bras de la Plaine (est), 
elle a été classé station verte comme possedant une politique d'acceuil et d'animation de qualité.","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.44444087728092,-21.29185599139337 55.46261192778078,-21.28302961674127 55.46985038426369,-21.27280072151561 55.47155775793939,-21.25788132448656 55.48845990979947,-21.2452323284172 55.50345233352743,-21.22699859204607 55.50754821892147,-21.21383697613477 55.51812687130303,-21.20383931463073 55.51578352931765,-21.18670191739278 55.51097712310268,-21.17748404080739 55.51081501234614,-21.16692029378931 55.50163227201054,-21.15904040841583 55.48942531259323,-21.18217773340995 55.46725897238067,-21.18906599099888 55.46088882984438,-21.19585439736903 55.46108879283059,-21.2013003884118 55.46230250107794,-21.2126549565362 55.46305642964198,-21.21542996309573 55.45582351631768,-21.22636100942037 55.454784083628,-21.24049558111174 55.46158020949424,-21.25561654861417 55.45461623938768,-21.274881078785 55.44444087728092,-21.29185599139337</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.2486,55.4703
Sud,Saint- Louis,http://runsense.github.io/js/img/blason/Saint-Louis.gif,"<a href=""http://saintlouis.re/"">http://saintlouis.re/</a>
<a style=""color:green;"" href=""http://www.ilereunion.com/observatoire-makes/"" >Observatoires Astronomiques</a>possède les makes, petit cirques annexes et unique","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.40098792135727,-21.29995835769535 55.4443124810419,-21.29172310345077 55.45461348741137,-21.27438057636588 55.46136247676493,-21.25545251193189 55.45440287089184,-21.24036338391822 55.45533606415641,-21.22655213828811 55.44582128099184,-21.20999072501508 55.43812763142665,-21.20090503380041 55.43630635286336,-21.18574416587215 55.43112161023223,-21.18469141094032 55.40659581379858,-21.15052116908776 55.394409088701,-21.16068543943872 55.38010126171848,-21.17295299221941 55.38193311310744,-21.19903105380299 55.39319992590749,-21.20996774014044 55.40002757848293,-21.22874165922004 55.40208737178996,-21.25031884315166 55.40350537745329,-21.27567143524744 55.40098792135727,-21.29995835769535</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.2867,55.4092
Sud,Saint-Joseph,http://runsense.github.io/js/img/blason/Saint-Joseph.gif,"<a href=""http://saintjoseph.re/"" >http://saintjoseph.re/</a>
parsememer de coins paradisiaque tous donnant des vues différents de la richesse de l'ile, incoutournable","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.6980001090077,-21.37592498149639 55.69650663151636,-21.37308845311332 55.70024132243353,-21.36174851256224 55.69594236641461,-21.35555758841247 55.68982411706296,-21.34382305665609 55.69377037981913,-21.33121065473222 55.68945056691955,-21.31841555231272 55.68149438358096,-21.30995200475559 55.68074537352725,-21.3026246731268 55.67759124876229,-21.28755832491388 55.6797816196292,-21.28309277828992 55.67871553919862,-21.27615050543272 55.67569334716252,-21.27171818853556 55.668877769964,-21.26220951727801 55.66929767028937,-21.25657721984145 55.66461998950729,-21.24940197166443 55.65859316147835,-21.24702547519377 55.66069575490414,-21.26041179014176 55.64665412400294,-21.26160529772867 55.63501275379497,-21.25845327596925 55.63287423298006,-21.24907657963976 55.63531086992425,-21.23778562567196 55.6382835502363,-21.22245132239198 55.63487972344959,-21.21617383605322 55.63978022571808,-21.1989385469788 55.63332787639425,-21.19357371176455 55.61307756823874,-21.20900702237269 55.60456264030505,-21.22782642379462 55.60036864484928,-21.24839123631926 55.60104720758141,-21.26144164123442 55.60176027948576,-21.26777393529731 55.60396296002777,-21.28432315073873 55.60391614288859,-21.29018370884883 55.60363966980432,-21.2943492385113 55.6032711970643,-21.29924257328034 55.60106952899524,-21.30259667477302 55.5971427681056,-21.30904443614849 55.59176072838722,-21.31686168018802 55.5873742994605,-21.32568504879401 55.58546876815727,-21.33030945715749 55.58619749856405,-21.33366624011958 55.59056040545327,-21.33681858926613 55.58943103208825,-21.34855408250908 55.58917290689543,-21.35660071811256 55.58654688728727,-21.36373579716364 55.58345216317051,-21.36577157502792 55.58332043658277,-21.37137955783181 55.58841995084486,-21.37476149178684 55.59051439258644,-21.37883140017411 55.59778947358652,-21.38181504277488 55.60922890685317,-21.38791188631412 55.62626504567641,-21.38447845805961 55.63995648164406,-21.38460114010839 55.64467963366428,-21.38962986064889 55.65702880565091,-21.38544152549166 55.66307900633505,-21.38300811157249 55.67101937232279,-21.38538000488822 55.6765371700421,-21.38016940953788 55.68264335597006,-21.3754033829681 55.6980001090077,-21.37592498149639</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.33287348927127,55.63922882080078
Sud,Saint-Phillippe,http://runsense.github.io/js/img/blason/Saint-Phillippe.gif,"batise du nom du roi qui y pris place, il est la ville remparts menant à l'enclos","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.80571981166166,-21.29271984410051 55.77074111956579,-21.28522228696852 55.75243326482885,-21.28491415489028 55.73768655285362,-21.2818087734807 55.71890189385375,-21.28692099236023 55.70630858733102,-21.28302095985329 55.70041582515782,-21.27599895994484 55.68665608406839,-21.27148819728818 55.67564798692353,-21.27161529613195 55.67856632294209,-21.27609189609434 55.67965711855043,-21.28341839662108 55.67757992006153,-21.28758607687195 55.68072845498094,-21.30255029991102 55.68150058451776,-21.30995680158856 55.68947359398871,-21.31842111527993 55.69379658339459,-21.33119963202121 55.68980922474945,-21.34383088932866 55.69592192233348,-21.35560366896039 55.700186061197,-21.36178814576666 55.69754046980557,-21.37039369562062 55.69647094066689,-21.37309128547638 55.69778953409814,-21.37561604902618 55.70171130329914,-21.37693444122952 55.71813929571206,-21.374705779227 55.72863585635562,-21.36991218887249 55.74749894978429,-21.36842000097344 55.75590774328278,-21.36339146068478 55.7743086753757,-21.36549474829192 55.78400035257689,-21.35938561681965 55.79765434854268,-21.34944880145246 55.80766093103609,-21.33635421616354 55.80958282134365,-21.33093274126934 55.80556644898446,-21.31856326420975 55.80522801691564,-21.30376152964714 55.80571981166166,-21.29271984410051</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.3594,55.7678
Sud,Saint-Pierre,http://runsense.github.io/js/img/blason/Saint-Pierre.gif,"<b>festivals:
Alon met’ ensamb</b>
SAM 15 AOÛ 2015 - 16:00
<a href=""http://www.ville-saintpierre.fr/"" >http://www.ville-saintpierre.fr/</a>
seX-pierre
l'Ibiza réunionnais,
elle concentre une grande partie des boite de nuit (avec saint-gille),
et est la capital du sud, avec saint-jo","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.50872412688011,-21.35509580957476 55.53065830862492,-21.36307941071458 55.53999232129031,-21.33105414984641 55.55220693192208,-21.32324736715217 55.57031920571586,-21.31515880202949 55.59245764830938,-21.30681833893923 55.61013025738978,-21.30035414204026 55.60303276800811,-21.27857233624696 55.5516902049803,-21.30275703312177 55.53479904377186,-21.30726794996014 55.51925354656393,-21.32479942382036 55.49889435677027,-21.30916744583499 55.46965357385756,-21.27252246819218 55.46200506810383,-21.2831687824125 55.4445073472821,-21.29190011711576 55.42586159656499,-21.29435425688681 55.4072204183371,-21.29874976623567 55.40084035248789,-21.2997692695072 55.41243147564791,-21.31585388810828 55.42911525258977,-21.32720113737436 55.44675475768266,-21.32825039873534 55.45788538804286,-21.34308384258444 55.47610236634057,-21.34870163496009 55.48380447088763,-21.35276648928342 55.50038852646796,-21.35089302836107 55.50872412688011,-21.35509580957476</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.3419,55.4778
Sud,Petite Ile,http://runsense.github.io/js/img/blason/PetiteIle.gif,"<a href=""http://www.petite-ile.re/"" >http://www.petite-ile.re/</a>
du nom de l'îlot au contre bas de sa falaise,
un des coins les plus charmant de l Ile avec 
grand anse","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.58318023709032,-21.37172992766223 55.58364798216457,-21.36559064921493 55.58652588462023,-21.36360867927542 55.58914410026617,-21.35621194459413 55.59061048080076,-21.33691409408313 55.58622782357647,-21.33385879101801 55.58557399748824,-21.33014905885858 55.59290810982429,-21.31880068758556 55.60873453885317,-21.30123969148763 55.59439598916688,-21.30627525908766 55.55402295446535,-21.32226860029146 55.54007290089891,-21.33137068596262 55.53084677504216,-21.36354044773835 55.53722761077351,-21.36330996025406 55.55033918686926,-21.3737203475585 55.56278410392214,-21.372593258662 55.57133621240389,-21.37633506160213 55.58318023709032,-21.37172992766223</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.3558,55.5658
Sud,Tampon,http://runsense.github.io/js/img/blason/Tampon.gif,"<a href=""http://www.letampon.fr/"" >http://www.letampon.fr/</a>
situé sur le versant reliant Saint-pierre à la plaines des cafres,
elle est composé des villa les plus fleuri de l'île.","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.47053954361487,-21.27287761603392 55.49905408965751,-21.30882632578792 55.51895907943361,-21.32482269864962 55.53481811446775,-21.30708002593277 55.55222695886918,-21.3027038576236 55.60299984889056,-21.27901620677147 55.60147068737237,-21.24894504657421 55.58174830699385,-21.23678632437956 55.55199464915188,-21.23293697428797 55.53295827404638,-21.22007115375597 55.51867170380783,-21.20352055848207 55.50765486741912,-21.21434049215547 55.50490512590229,-21.22599565418716 55.48851210485199,-21.24548071709443 55.47153135459178,-21.25821022921452 55.47053954361487,-21.27287761603392</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",,
Sud,Cilaos,http://runsense.github.io/js/img/blason/Cilaos.gif,"<a href=""http://www.ville-cilaos.fr/"" >http://www.ville-cilaos.fr/</a>

Cirque le plus développer de l'île, emblématique de par ces sources thermales, son vin et son chèvre.","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.42604717968843,-21.11705939430083 55.42293173525482,-21.11693549544036 55.42019706360777,-21.11774513657145 55.41747755280778,-21.12166375027992 55.41129873572228,-21.12929989954249 55.40470874904899,-21.13709538357783 55.40531774391192,-21.13947455982752 55.40572866599672,-21.14543295845645 55.40720590982305,-21.15032471828872 55.41687242750961,-21.16457516081983 55.43152849591652,-21.18481009337077 55.43639162067543,-21.18568956649771 55.43833637451881,-21.20127130674537 55.44622624757204,-21.21073642437942 55.45562612105263,-21.22639770853732 55.46271636310657,-21.21562887139757 55.46034222637837,-21.19687452259683 55.4668525180242,-21.18894235208327 55.48003742407449,-21.18411172490687 55.48954773948076,-21.18189174228976 55.49563321802233,-21.1697243491784 55.50068908632712,-21.15843668975012 55.50132191164936,-21.14639100121346 55.50727426776193,-21.13970502192569 55.50786037049278,-21.13166103412766 55.50459774697942,-21.1250672572276 55.50180153325714,-21.11681764526183 55.49613944017746,-21.111877531004 55.4909406149594,-21.10448699931195 55.47938723295121,-21.09866692812178 55.47975833016744,-21.09460329671725 55.46537757661616,-21.0859555316387 55.45607683213369,-21.09384415905702 55.45603571597377,-21.09974631889044 55.44031544515237,-21.10809227968744 55.43923500251039,-21.11033327698409 55.43244791627033,-21.11348128755624 55.4290692985706,-21.11333416785162 55.42604717968843,-21.11705939430083</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.147112877735537,55.46773910522461
Sud,"Tremblet Volcan Le Piton de La Fournaise
",http://runsense.github.io/js/img/blason/Tremblet.gif,"<a href=""http://www.fournaise.info/"" >http://www.fournaise.info/</a>
Point chaud de l'Océan Indien,
il se situe à la pointe Sud de l'île,
et l'agandi encore de jour en jour.

Accessible en suivant la route du volcan depuis la maison du volcan
à la Plaine des cafres","<Polygon>
            <tessellate>1</tessellate>
            <outerBoundaryIs>
                <LinearRing>
                    <coordinates>55.67918801743895,-21.25034344782976 55.68238758313085,-21.2636220330094 55.68842958432335,-21.2701738485386 55.69989766341625,-21.27794205141306 55.70700222539665,-21.28624982686187 55.71499500993825,-21.28768139598786 55.7295183779396,-21.28720113065422 55.73889809281578,-21.28330075793067 55.74302543412021,-21.28169127474093 55.75265123460028,-21.28376404080196 55.76336639949505,-21.2681847160518 55.77052166046656,-21.25189550885666 55.77225470951669,-21.23606343978959 55.76563509438132,-21.21534666203928 55.74950345042165,-21.20317121807371 55.73450509539019,-21.20334525163382 55.72209761272666,-21.20686321577091 55.68751288556057,-21.22246443338808 55.67916019186896,-21.23935858611465 55.67918801743895,-21.25034344782976</coordinates>
                </LinearRing>
            </outerBoundaryIs>
        </Polygon>",-21.2425,55.708889
