id,nom,categ,description,geometry,lat,lng
SAd_v,petit trou,capital_big,quartier,"<Point>
            <coordinates>55.58734920276308,-21.00071967357914</coordinates>
        </Point>","-21,0007196736","55,5873492028"
SAd_v,rivière du mât,water,"rivière
_
34,7 km","<Point>
            <coordinates>55.70004022303348,-20.98039723103021</coordinates>
        </Point>","-20,980397231","55,700040223"
SAd_v,commune bègue les bas,capital_big,quartier,"<Point>
            <coordinates>55.64239126685351,-20.94249373424017</coordinates>
        </Point>","-20,9424937342","55,6423912669"
SAd_v,étang de bois rouge,water,rivière,"<Point>
            <coordinates>55.64934659954702,-20.91713136333377</coordinates>
        </Point>","-20,9171313633","55,6493465995"
SAd_v,Eglise de Saint-André,church,"religion
_
Les premiers habitants de Saint-André construisent une chapelle en bois, en février 1750, elle prend feu, ce qui active la construction d'une nouvelle église en pierre terminée en 1752.","<Point>
            <coordinates>55.64879270737248,-20.96156052190614</coordinates>
        </Point>","-20,9615605219","55,6487927074"
SAd_v,Eglise Saint-Nicolas de Champ-Borne,church,"religion
_
28 février 1962, le cyclone Jenny passe en à peine deux heures sur le nord de la Réunion. L'église Saint-Nicolas de champ borne ce jour là est détruite, le cyclone Jenny a emporté une partie de l'église. Celle-ci est depuis en ruine.","<Point>
            <coordinates>55.6820765142344,-20.94401480617421</coordinates>
        </Point>","-20,9440148062","55,6820765142"
SAd_v,Temple du colosse,church,"religion
_
Le temple original du 19 siècle attenant à l'usine sucrière du Colosse, a disparu. Aujourd'hui un autre temple plus grand, dédié à Pandialé, a été construit sur le même emplacement par des artisans venus de Madras.
Carème de trois jour necessaire 
pour toute personne désirant entrer dans un temple","<Point>
            <coordinates>55.67170996402594,-20.9366310295625</coordinates>
        </Point>","-20,9366310296","55,671709964"
SAd_v,Cheminée Le Désert,cbh,historique,"<Point>
            <coordinates>55.62883333333333,-20.96616666666667</coordinates>
        </Point>","-20,9661666667","55,6288333333"
SAd_v,Cheminée de Ravine Creuse,cbh,"historique
_
inscrite en totalité à l'inventaire supplémentaire des Monuments historiques depuis le 27 juin 2002","<Point>
            <coordinates>55.66499999999999,-20.96816666666667</coordinates>
        </Point>","-20,9681666667","55,665"
SAd_v,Maison High-Hall,cbh,"historique
_
inscrite en totalité à l'inventaire supplémentaire des Monuments historiques depuis le 15 octobre 1991","<Point>
            <coordinates>55.64793004240316,-20.96380533398034</coordinates>
        </Point>","-20,963805334","55,6479300424"
