id,nom,categ,description,geometry,lat,lng
SD_md,P'Tit Kaz Philou,snack_bar*cbh,"snack
<b>spé: gratiné Américains</b>
","<Point>
            <coordinates>55.4819666667,-20.90202</coordinates>
        </Point>",-20.90202,55.4819
SD_md,Ainsi parlait Zarathoustra,dining, restaurant,"<Point>
            <coordinates>55.44894978042984,-20.8768536739469</coordinates>
        </Point>","-20,8768536739","55,4489497804"
SD_md,L’Artocarpe,dining," restaurant
_
tél: +262 262 21 55 48
","<Point>
            <coordinates>55.44877377160012,-20.8769102873531</coordinates>
        </Point>","-20,8769102874","55,4487737716"
SD_md,Gîte de la Roche Ecrite,realestate," gite de randonnée_
tél: +262 262 43 99 84","<Point>
            <coordinates>55.44487802,-20.98776944444445</coordinates>
        </Point>","-20,9877694444","55,44487802"
SD_md,Chez Moi,dining*realestate,"restaurant, bungalow, chalet_
gsm: +262 692 88 82 31","<Point>
            <coordinates>55.40994571000001,-20.89471388888889</coordinates>
        </Point>","-20,8947138889","55,40994571"
SD_md,Le Saint-Bernard,dining,"restaurant, traiteur_
<b>label: maître restaurateur</b>
tél: +262 262 23 62 90_
gsm: 0692 86 02 33","<Point>
            <coordinates>55.40082957,-20.90774444444444</coordinates>
        </Point>","-20,9077444444","55,40082957"
SD_md,Colorado,dining,"restaurant_
tél: +262 262 23 45 73","<Point>
            <coordinates>55.4212213,-20.89373333333333</coordinates>
        </Point>","-20,8937333333","55,4212213"
SD_md,G.D Resto,dining,"restaurant_
<b>label: qualité tourisme</b>
tél: +262 262 23 42 26","<Point>
            <coordinates>55.41266311,-20.89499166666667</coordinates>
        </Point>","-20,8949916667","55,41266311"
SD_md,Le D.C.P.,dining,"restaurant, traiteur_
<b>label: qualité tourisme</b>
tél: +262 262 20 10 14","<Point>
            <coordinates>55.45222041,-20.87701666666667</coordinates>
        </Point>","-20,8770166667","55,45222041"
SD_md,Le Juliette Dodu ***,rec_lodging*dining,"hotel, restaurant_
label: gayfriendly, qualité tourisme_
tél: +262 262 20 91 20_
acces hdcp","<Point>
            <coordinates>55.45012962,-20.87470277777778</coordinates>
        </Point>","-20,8747027778","55,45012962"
SD_md,Le Kaloupilé,dining,"restaurant_
<b>label: qualité tourisme</b>
tél:  +262 262 94 26 26","<Point>
            <coordinates>55.46796872,-20.90118888888889</coordinates>
        </Point>","-20,9011888889","55,46796872"
SD_md,L' Oasis,dining,"restaurant_
<b>label: qualité tourisme</b>
tél:  +262 262 21 80 20","<Point>
            <coordinates>55.44723451,-20.87397222222222</coordinates>
        </Point>","-20,8739722222","55,44723451"
SD_md,Le Roland Garros,dining*bars,"restaurant, bar, brasserie_
<b>label:  restaurateur de France, maître restaurateur, qualité tourisme</b>
tél: +262 262 41 44 37","<Point>
            <coordinates>55.44675604,-20.87376944444445</coordinates>
        </Point>","-20,8737694444","55,44675604"
SD_md,Le Relais Dyonisien,dining,"restaurant_
tél:  +262 262 21 81 80","<Point>
            <coordinates>55.45624748,-20.88079444444444</coordinates>
        </Point>","-20,8807944444","55,45624748"
SD_md,Fancy Food,dining,"restaurant_
tél: +262 262 30 49 45","<Point>
            <coordinates>2.349683063742889,48.87289132360187</coordinates>
        </Point>","48,8728913236","2,3496830637"
SD_md,Le 12,dining,"restaurant_
tél: +262 262 30 54 68","<Point>
            <coordinates>55.44816802,-20.87385555555555</coordinates>
        </Point>","-20,8738555556","55,44816802"
SD_md,P'Tit Fleur Fané,dining,"restaurant_
tél: +262 262 20 44 44","<Point>
            <coordinates>55.45116492,-20.87684444444444</coordinates>
        </Point>","-20,8768444444","55,45116492"
SD_md,Chez Piat,dining,"restaurant, traiteur_
tél:  +262 262 21 45 76","<Point>
            <coordinates>55.452041,-20.87853888888889</coordinates>
        </Point>","-20,8785388889","55,452041"
SD_md,Le Garden Paris,dining,"restaurant_
tél:  +262 262 20 28 83","<Point>
            <coordinates>55.44871699,-20.87936111111111</coordinates>
        </Point>","-20,8793611111","55,44871699"
SD_md,Wing-Long,dining,"restaurant_
tél: +262 262 41 01 09_
tél: +262 262 21 26 19","<Point>
            <coordinates>55.45100031,-20.8779</coordinates>
        </Point>","-20,8779","55,45100031"
SD_md,Le Massalé,snack_bar,"snack_
tél: +262 262 21 75 06","<Point>
            <coordinates>55.44993328,-20.87697777777778</coordinates>
        </Point>","-20,8769777778","55,44993328"
SD_md,Le Pavillon d'Or,dining,"restaurant_
tél: +262 262 21 49 86","<Point>
            <coordinates>55.45891552,-20.88118888888889</coordinates>
        </Point>","-20,8811888889","55,45891552"
SD_md,Le Hammam Sarah,dining*spa,"restaurant, spa_
tél:  +262 262 51 69 04_
gsm: +262 692 87 65 14","<Point>
            <coordinates>55.45143600000001,-20.87669166666667</coordinates>
        </Point>","-20,8766916667","55,451436"
