id,nom,categ,description,geometry,lat,lng
SJ_md,Gîte de la Rivière des Remparts,realestate,"gite de randonnée_
tél: +262 262 59 13 94_
gsm: +262 692 68 35 32","<Point>
            <coordinates>55.616092,-21.24581666666667</coordinates>
        </Point>","-21,2458166667","55,616092"
SJ_md,Le Mahavel,realestate,"gite de randonnée_
gsm: +262 692 20 76 52","<Point>
            <coordinates>55.61540008999999,-21.24714166666667</coordinates>
        </Point>","-21,2471416667","55,61540009"
SJ_md,La Table des Randonneurs,realestate," gite de randonnée_
gsm: +262 692 61 73 47","<Point>
            <coordinates>55.68604954999999,-21.34488055555556</coordinates>
        </Point>","-21,3448805556","55,68604955"
SJ_md,Gîte Chan Chit Sang Jean Pierre,realestate,"gite d'étape_
tél:  +262 262 56 14 44_
gsm: +262 692 00 12 45","<Point>
            <coordinates>55.630541,-21.35885277777778</coordinates>
        </Point>","-21,3588527778","55,630541"
SJ_md,L' Eucalyptus,realestate*gite_de_france,"chambre d'hote_
<b>label: villages créoles, gites de france</b>
gsm: +262 692 03 54 78","<Point>
            <coordinates>55.63101388888889,-21.29776666666667</coordinates>
        </Point>","-21,2977666667","55,6310138889"
SJ_md,Au Lapin d'Or,realestate*gite_de_france," chambre d'hote_
<b>label: villages créoles, gites de france</b>
tél: +262 262 56 66 48_
gsm: 0692 70 09 18","<Point>
            <coordinates>55.62984047,-21.33388055555556</coordinates>
        </Point>","-21,3338805556","55,62984047"
SJ_md,Ilet aux Palmistes,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 20 21 14_
gsm: 0692 20 41 58","<Point>
            <coordinates>55.685387,-21.36319444444445</coordinates>
        </Point>","-21,3631944444","55,685387"
SJ_md,L' Arpège Austral,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 56 36 89_
gsm: 0692 70 74 12","<Point>
            <coordinates>55.62725636,-21.37013611111111</coordinates>
        </Point>","-21,3701361111","55,62725636"
SJ_md,Senteurs des Tropiques,realestate*gite_de_france," chambre d'hote_
<b>label: gite de france</b>
tél: +262 262 37 66 21_
gsm: 0692 20 81 78_
acces hdcp","<Point>
            <coordinates>55.63330197697728,-21.36583960492372</coordinates>
        </Point>","-21,3658396049","55,633301977"
SJ_md,Hoareau Nathalie,realestate*gite_de_france," chambre d'hote_
<b>label: gite de france</b>
tél: +262 262 37 61 92","<Point>
            <coordinates>55.61309405,-21.35326388888889</coordinates>
        </Point>","-21,3532638889","55,61309405"
SJ_md,Turpin Elvina,realestate*gite_de_france,"chambre d'hote_
<b>label: gite de france</b>
tél: +262 262 37 40 62_
gsm: 0692 72 42 60","<Point>
            <coordinates>55.66216018,-21.33588333333333</coordinates>
        </Point>","-21,3358833333","55,66216018"
SJ_md,Le Tagine,dining," restaurant_
tél: +262 262 37 32 51_
gsm: +262 692 88 59 24","<Point>
            <coordinates>55.66864829,-21.37653333333333</coordinates>
        </Point>","-21,3765333333","55,66864829"
SJ_md,Royal Kébab,snack_bar,"snack_
tél: +262 262 37 27 43","<Point>
            <coordinates>55.61910287,-21.37780277777778</coordinates>
        </Point>","-21,3778027778","55,61910287"
SJ_md,Le Flamboyant,snack_bar,"snack_
tél: +262 262 56 12 90_
gsm: +262 692 65 41 76","<Point>
            <coordinates>55.61476463,-21.38069444444444</coordinates>
        </Point>","-21,3806944444","55,61476463"
SJ_md,Chez Jo,dining,"restaurant_
tél: +262 262 31 48 83","<Point>
            <coordinates>55.58886362999999,-21.37321666666667</coordinates>
        </Point>","-21,3732166667","55,58886363"
SJ_md,La Bonne Idée,dining,"restaurant_
tél:  +262 262 56 20 76_
gsm: +262 692 27 84 94","<Point>
            <coordinates>55.64903328,-21.36898611111111</coordinates>
        </Point>","-21,3689861111","55,64903328"
SJ_md,Le Jubilé,dining,"restaurant_
<b>label: villages créoles</b>
gsm:  +262 692 65 98 17","<Point><coordinates>55.605889,-21.3298</coordinates></Point>","-21,3298","55,605889"
SJ_md,Au Buffet,dining*hdcp,"restaurant_
tél:  +262 262 23 58 82_
acces hdcp","<Point>
            <coordinates>55.611057,-21.37671666666667</coordinates>
        </Point>","-21,3767166667","55,611057"
SJ_md,La Calypso,dining,"restaurant_
tél: +262 262 31 66 30_
gsm: +262 692 29 87 13","<Point>
            <coordinates>55.61136541,-21.38115277777778</coordinates>
        </Point>","-21,3811527778","55,61136541"
SJ_md,Le Tropicana,dining,"restaurant_
tél: +262 262 56 53 19","<Point>
            <coordinates>55.61850500000001,-21.37879166666667</coordinates>
        </Point>","-21,3787916667","55,618505"
SJ_md,Pizzeria La Gondole,dining," restaurant_
tél: +262 262 56 16 12","<Point>
            <coordinates>55.60972067,-21.38068055555556</coordinates>
        </Point>","-21,3806805556","55,60972067"
SJ_md,Le Grèguois,dining,"restaurant_
gsm: +262 692 68 44 54","<Point>
            <coordinates>55.60601879659084,-21.33016882611268</coordinates>
        </Point>","-21,3301688261","55,6060187966"
SJ_md,Le Tagine Bis,snack_bar," snack_
tél:  +262 262 47 10 99","<Point>
            <coordinates>55.62084804000001,-21.37785277777778</coordinates>
        </Point>","-21,3778527778","55,62084804"
SJ_md,L' Orient Express,dining,"restaurant_
tél:  +262 262 56 28 38","<Point>
            <coordinates>55.61527091,-21.37711111111111</coordinates>
        </Point>","-21,3771111111","55,61527091"
SJ_md,Le Benjoin,dining,"restaurant_
tél:  +262 262 56 23 90_
gsm: +262 692 60 87 76","<Point>
            <coordinates>55.64976596,-21.375325</coordinates>
        </Point>","-21,375325","55,64976596"
SJ_md,Les Pieds Dans l'Eau,dining,"restaurant_
tél: +262 262 37 13 64_
gsm: +262 692 25 01 38","<Point>
            <coordinates>55.64641035,-21.37945277777778</coordinates>
        </Point>","-21,3794527778","55,64641035"
SJ_md,L' Ambroisie,dining,"restaurant_
tél: +262 262 31 51 99_
gsm: +262 692 38 11 01","<Point>
            <coordinates>55.62299444,-21.37934444444445</coordinates>
        </Point>","-21,3793444444","55,62299444"
SJ_md,La Caverne des Hirondelles,realestate," chambre d'hote_
tél: +262 262 31 80 86_
gsm: +262 692 64 43 70","<Point>
            <coordinates>55.62784980000001,-21.38096388888889</coordinates>
        </Point>","-21,3809638889","55,6278498"
