id,nom,categ,description,geometry,lat,lng
SLO_v,Aqueduc Ravine du Gol,cbh,"Construit en bois en 1816 pour dériver l’eau de la rivière Saint-Etienne, le Canal du Gol, créé par Hyacinthe MURAT, prend sa source au lieu-dit « le Gouvernail » dans le lit de la rivière, puis traverse toute la ville de Saint-Louis jusqu’à la ravine du Gol, franchie à l’aide de l’aqueduc.

L’ouvrage d’art de 1816 est remplacé vers 1835 par une nouvelle réalisation établie plus en amont. De hautes piles en maçonnerie permettent de franchir le lit de la rivière. Elles supportent le canal, à l'origine en bois, remplacé à une date inconnue par des feuilles de métal. La canalisation termine sa course à  la sucrerie du Gol et alimente en eau les machines à vapeur. L’aqueduc métallique desservit la ville jusqu’en 1970.","<Point>
            <coordinates>55.40535,-21.28212777777778</coordinates>
        </Point>","-21,2821277778","55,40535"
SLO_v,Chapelle Notre Dame du Rosaire,church,"La Chapelle Notre Dame du Rosaire est le plus vieil édifices chrétien conservé à La Réunion,
 elle est classée en totalité au titre des monuments historiques le 14 août 2000.","<Point>
            <coordinates>55.41857900012499,-21.29077399988647</coordinates>
        </Point>","-21,2907739999","55,4185790001"
SLO_v,Cimetière du Père Lafosse,cbh,"Vestige du passé colonial,
on y retrouve les premiers esclaves 
enterré avec les premiers colons","<Point><coordinates>55.39667,-21.28306</coordinates></Point>","-21,28306","55,39667"
SLO_v,Domaine de Maison Rouge,cbh,"Le Domaine de Maison Rouge est classé en totalité au titre des monuments  historiques le 5 mai 2004.
Le domaine est le seule de l'Outre-Mer français lié à la culture du café.","<Point>
            <coordinates>55.41140300048131,-21.26400300072488</coordinates>
        </Point>","-21,2640030007","55,4114030005"
SLO_v,église de Saint-Louis,church,"L'église de Saint-Louis est classée en totalité au titre des monuments 
historiques le 13 décembre 1982.
Elle se situe sur l'ancienne place d'arme de l'île.","<Point><coordinates>55.4092,-21.2867</coordinates></Point>","-21,2867","55,4092"
SLO_v,église des Saints Anges Gardiens,church,,"<Point>
            <coordinates>55.40357126397951,-21.20718806016595</coordinates>
        </Point>","-21,2071880602","55,403571264"
SLO_v,le grand fond,terain,pointInteret_,"<Point>
            <coordinates>55.40400602243976,-21.30393148141034</coordinates>
        </Point>","-21,3039314814","55,4040060224"
SLO_v,plateau goyave,capital_big,quartier,"<Point>
            <coordinates>55.4203138942968,-21.27820874854684</coordinates>
        </Point>","-21,2782087485","55,4203138943"
SLO_v,le pont neuf,capital_big,quartier,"<Point>
            <coordinates>55.41262510831554,-21.28049387273298</coordinates>
        </Point>","-21,2804938727","55,4126251083"
SLO_v,la chapelle,capital_big,quartier,"<Point>
            <coordinates>55.41849532611201,-21.29019748254334</coordinates>
        </Point>","-21,2901974825","55,4184953261"
SLO_v,la palissade,capital_big,quartier,"<Point>
            <coordinates>55.4180802530135,-21.28466816846174</coordinates>
        </Point>","-21,2846681685","55,418080253"
SLO_v,Maison du Docteur Edwards,cbh,"ou Maison Aubry
 inscrite au titre des monuments historiques le 28 novembre 1990.","<Point>
            <coordinates>55.40975,-21.28819444444445</coordinates>
        </Point>","-21,2881944444","55,40975"
SLO_v,MADOI,arts,"Musée des arts décoratifs de l'océan Indien
<a href=""https://www.facebook.com/madoireunion"">https://www.facebook.com/madoireunion</a>","<Point>
            <coordinates>55.41136111111111,-21.26691666666667</coordinates>
        </Point>","-21,2669166667","55,4113611111"
