id,nom,categ,description,geometry,lat,lng
SPA_md,"Lé-bas, Ter la",dining,"restaurant
_
festival: 
tél: +262 2 62 57 10 51","<Point>
            <coordinates>55.27280928867608,-21.00739241300754</coordinates>
        </Point>","-21,007392413","55,2728092887"
SPA_md,Les Géraniums,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 44 28 11_
gsm: +262 692 52 31 91","<Point>
            <coordinates>55.33429,-21.01605277777778</coordinates>
        </Point>","-21,0160527778","55,33429"
SPA_md,Le Ruisseau,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 44 21 09_
gsm: 0693 90 20 29","<Point>
            <coordinates>55.311751,-21.03769166666667</coordinates>
        </Point>","-21,0376916667","55,311751"
SPA_md,Magdeleine Dominique et Rose,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 32 53 50_
gsm: +262 692 75 15 39","<Point>
            <coordinates>55.325275,-21.04253888888889</coordinates>
        </Point>","-21,0425388889","55,325275"
SPA_md,Chez Gaya et Suzie,realestate*gite_de_france,"chambre d'hote_
<b>label: gites de france</b>
tél: +262 262 32 45 14_
gsm: 0693 04 92 84","<Point>
            <coordinates>55.312133,-21.02851388888889</coordinates>
        </Point>","-21,0285138889","55,312133"
SPA_md,Ti Kaz Natur,dining,"restaurant_
tél:  +262 262 54 08 46","<Point>
            <coordinates>55.34039066255012,-21.04877038961073</coordinates>
        </Point>","-21,0487703896","55,3403906626"
SPA_md,Relais du Manulldo,dining*snack_bar,"restaurant, snack_
<b>label: villages créoles</b>
tél: +262 262 32 40 32_
gsm: +262 692 86 51 65","<Point>
            <coordinates>55.333363,-21.04823333333334</coordinates>
        </Point>","-21,0482333333","55,333363"
SPA_md,Bak Rouz,dining,"restaurant_
tél: +262 262 32 56 71","<Point>
            <coordinates>55.313233,-21.03895555555556</coordinates>
        </Point>","-21,0389555556","55,313233"
SPA_md,Chez Doudou,dining,"restaurant_
<b>label: villages créoles</b>
tél: +262 262 32 55 87_
gsm: +262 692 70 00 39","<Point>
            <coordinates>55.31014,-21.03713333333333</coordinates>
        </Point>","-21,0371333333","55,31014"
SPA_md,Chez Ary et Lucette,dining,"restaurant_
tél:  +262 262 32 40 69","<Point>
            <coordinates>55.334518,-21.04915833333334</coordinates>
        </Point>","-21,0491583333","55,334518"
SPA_md,Bar d'O,snack_bar," snack_
tél:  +262 262 32 42 09","<Point>
            <coordinates>55.327218,-21.00219722222222</coordinates>
        </Point>","-21,0021972222","55,327218"
SPA_md,Le Miel-Riz,dining,"restaurant_
gsm: +262 692 71 72 25","<Point>
            <coordinates>55.339985,-21.04814166666667</coordinates>
        </Point>","-21,0481416667","55,339985"
SPA_md,Chez Bazou,dining,"restaurant_
<b>label: villages créoles</b>
tél: +262 692 41 08 92_
gsm: 0692 81 32 83","<Point>
            <coordinates>55.329722,-21.04492777777778</coordinates>
        </Point>","-21,0449277778","55,329722"
