id,nom,categ,description,geometry,lat,lng
eT_s,Quai De La Vierge,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.80748415071462,-21.22067303168677 55.80784400710938,-21.22077980972778 55.80829290835006,-21.22073945616951 55.808915952486,-21.22159009974735 55.80931573932217,-21.22180618352069 55.80993083579821,-21.22181907423931 55.81025371562775,-21.22181562951785</coordinates>
        </LineString>",-21.22067303168677 ,55.80748415071462
eT_s,"pointe du grand brulé 
ou
quai Neuf",hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.80048172939842,-21.23307904998483 55.80066945532171,-21.23303851177364 55.80092388099617,-21.23310672219119 55.80185523218881,-21.23370513770628 55.80198860409544,-21.23383674528073 55.80192042191892,-21.23402792275037 55.80196094975189,-21.23413659852832 55.80260857271714,-21.23476486303724 55.80302593438853,-21.23491241444662 55.80318578103221,-21.23509220317667 55.80366156078082,-21.23501806131399 55.80416292486608,-21.23511512407552 55.8047831933101,-21.23518988205082 55.80505654254281,-21.23546794812905 55.80565377641941,-21.23595850967747 55.80594473304492,-21.23610187370402 55.80620479251392,-21.23607757349082 55.8064770585139,-21.23626223785136</coordinates>
        </LineString>",-21.23307904998483 ,55.80048172939842
eT_s,route forestière Géothermique de Sainte-Rose,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.79950535071848,-21.2395962688228 55.79940524892103,-21.23949922138903 55.79947833453554,-21.2390951544485 55.79926554873219,-21.23893590210858 55.79894148566748,-21.23909279975514 55.7987687984687,-21.23901365909448 55.79847430901967,-21.2388386557813 55.7982076829192,-21.23877179920333 55.79768609708857,-21.23823622922311 55.79721230459127,-21.23769969203805 55.79697659265273,-21.23716500626388 55.79710282625426,-21.23648326637637 55.7972270982199,-21.23612826976615 55.79719078995091,-21.23559580479423 55.79694264445819,-21.23503810086672 55.79664886961738,-21.2343276501894 55.79629699802466,-21.2337246877192 55.79580651221985,-21.23308042609523 55.79474016536349,-21.2328510823915 55.79415535817725,-21.23311117750256 55.79405519514806,-21.23337443362805 55.79409816226169,-21.23373932174619 55.79391399255976,-21.23435713722345 55.79366027283025,-21.23509664776366 55.7931808769733,-21.23497198830243 55.79295032066002,-21.23553261634195 55.79282419513116,-21.2361854715288 55.79272656114924,-21.23713479139028 55.79236472193909,-21.23715549555024 55.79234672985282,-21.23715506661107 55.7922245461133,-21.23774379962861 55.79239706886634,-21.23846388391422 55.79244108003769,-21.2389272058448</coordinates>
        </LineString>",-21.2395962688228 ,55.79950535071848
eT_s,ancienne route,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.79673036333221,-21.24905709615626 55.79673690190602,-21.24906979137815 55.7968440008145,-21.24955251677801 55.79752970532749,-21.2496109240574 55.79792686554379,-21.25006015508624 55.79791596518295,-21.25055143017912 55.79839996344646,-21.25058499593557 55.7987570068189,-21.25052248599744 55.79886318490262,-21.25091793859177 55.7986355483156,-21.25183134731368</coordinates>
        </LineString>",-21.24905709615626 ,55.79673036333221
eT_s,le brisant,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.79596528345732,-21.26797710768853 55.79659530151732,-21.26901121511979 55.7968367358137,-21.26925367731831 55.7973356220452,-21.26943864740646 55.79758518226102,-21.26909378279099 55.79788991946641,-21.26905506816794 55.79835042456468,-21.26924104927798 55.79881016203414,-21.26944979292997 55.79914106148248,-21.26908346565366 55.79967747744251,-21.26891328167075 55.80020142554977,-21.26868946289858 55.80039083124268,-21.268542583941 55.80087819252235,-21.26869393257039 55.80109843509581,-21.26900925036575</coordinates>
        </LineString>",-21.26797710768853 ,55.79596528345732
eT_s,ancienne route,cabs,route,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.7950590112554,-21.27132284723318 55.79463196569263,-21.27234210793935 55.7939260138363,-21.27254533126141 55.79361879721785,-21.27362054188798 55.79339566774493,-21.273705097003 55.79331220233905,-21.27413698866908 55.79309898884031,-21.27431666035864 55.79319537165817,-21.27487075573832 55.79267134255167,-21.27496919479489 55.79218976167179,-21.2755110509612 55.79207715671429,-21.2758532541869 55.79179520045679,-21.27599959187601 55.79162848911324,-21.2770749263284 55.79162854676111,-21.27708432998999 55.79176429298917,-21.27743726846265 55.79159089272658,-21.27803393963806 55.79153248656082,-21.27853170045897 55.79104097293747,-21.27861072075108</coordinates>
        </LineString>",-21.27132284723318 ,55.7950590112554
eT_s,remparts tremblets,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.72420103109702,-21.20567568523738 55.72451978395959,-21.20552258796107 55.72456257902596,-21.2055809244739 55.72466808822584,-21.20549707495968 55.72476126499939,-21.20570036555799 55.72486556556515,-21.20554869777414 55.72488692419132,-21.20533408906649 55.7250145457011,-21.20557059459633 55.72502648882579,-21.20544708180982 55.72512604863847,-21.20549600098549 55.7250810562206,-21.20523028673465 55.7250946121394,-21.20480430359662 55.72519768207417,-21.2048356456715 55.725172794235,-21.20476021051544 55.7253601196389,-21.20478794735693 55.72543989582818,-21.20447986580706 55.72567811877225,-21.20453130983691 55.72616895181012,-21.20431578117216 55.72617598106057,-21.20417515971571 55.72640393809196,-21.20409594846795 55.72677808933467,-21.20391240518925 55.72672964163709,-21.20378961202627 55.72684421282735,-21.2037853068792 55.72708261202897,-21.20386030236077 55.72732775186908,-21.20385091100479 55.72761282759502,-21.20350231488588 55.72804980547432,-21.20299030139179 55.72819678644026,-21.20276476747858 55.72878175166175,-21.20247736785596 55.72904688474081,-21.20253900171165 55.72940032372074,-21.20241684956317 55.72951821981572,-21.2025754987695 55.72963004250308,-21.20263459798773 55.72971504187913,-21.20261606684863 55.72987761811517,-21.20249273597301 55.73012913578088,-21.2026653546357 55.73031187247002,-21.20274698003925 55.73048475446594,-21.20262688470373 55.73078229964145,-21.20258573743859 55.7308491053282,-21.20243638230966 55.73083371739054,-21.20216548072582 55.73091582715096,-21.20212718887093 55.73104209502942,-21.20236344532227 55.73103815943213,-21.20237075591402 55.73116820579968,-21.20234241915266 55.73124435157023,-21.20210781106688 55.73132240712754,-21.2019579679593 55.73131406782824,-21.20184938036179 55.73149335469807,-21.20186909695832 55.73151348464,-21.20202329989471 55.73162542648596,-21.20210505627852 55.73174902024272,-21.2020776924011</coordinates>
        </LineString>",-21.20567568523738 ,55.72420103109702
eT_s,Piton de la Fournaise,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.68627073904747,-21.22655781956211 55.68824012199468,-21.22818749352444 55.69000343095641,-21.22926225256884 55.69239661386807,-21.23163594498174 55.69404800846615,-21.23220183957338 55.69453844062758,-21.23248389572651 55.69898738708682,-21.23316376067405 55.69979284284747,-21.23473051179333 55.70339152665439,-21.23670808734572 55.70684134085074,-21.2382426787472 55.71146353279269,-21.23855536952676 55.71453137758388,-21.2388432856301 55.71755925629098,-21.23986127527096 55.72007143529279,-21.24092822014879 55.71953946691041,-21.24215918269409</coordinates>
        </LineString>",-21.22655781956211 ,55.68627073904747
eT_s,Piton de la Fournaise,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.68596607623141,-21.22665763967093 55.6875992609425,-21.23029741305169 55.68954301892565,-21.23193666570374 55.69114416778978,-21.23447987286123 55.69189464863377,-21.23605904625735 55.69423854247107,-21.23953976111205 55.69597222456751,-21.24249314895272 55.69655831051514,-21.24562427257597 55.69771047753804,-21.24812607285824 55.7003550154934,-21.25065898252082 55.70166648558854,-21.25398500905498 55.70263575625716,-21.25674047805538 55.70287714711094,-21.2568542496728 55.70317679810677,-21.25691434912002 55.7047422188489,-21.25732249355297 55.706543353706,-21.25414241536621 55.71014376761274,-21.25201761234993 55.71132347419845,-21.24944751373215 55.7120871286331,-21.24781102283706</coordinates>
        </LineString>",-21.22665763967093 ,55.68596607623141
eT_s,la Chapelle de Rosemont,hiker,sentier,"<LineString>
            <tessellate>1</tessellate>
            <coordinates>55.69432145104614,-21.24022367478149 55.69554840779202,-21.23902163516362 55.69644471443451,-21.23715868163252 55.69765687683951,-21.23556600542139 55.69874481387348,-21.23500744705196 55.69936011502671,-21.23355073729936</coordinates>
        </LineString>",-21.24022367478149 ,55.69432145104614
